0,1,2
이스타항공,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/KB국민카드(이용실적 충족시)
왕복 301,400원~"
제주항공,"11:10KIX
13:00ICN
직항, 01시간 50분","성인/KB국민카드
왕복 310,900원~"
에어서울,"13:35ICN
15:20KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 314,800원~"
이스타항공,"11:50KIX
13:50ICN
직항, 02시간 00분","성인/KB국민카드
왕복 318,400원~"
제주항공,"16:00ICN
18:00KIX
직항, 02시간 00분","성인/KB국민카드
왕복 319,400원~"
이스타항공,"11:10KIX
13:00ICN
직항, 01시간 50분","성인/모든 결제수단
왕복 324,500원~"
제주항공,"13:35ICN
15:20KIX
직항, 01시간 45분","성인/롯데 Trip to 로카 카드
왕복 326,400원~"
이스타항공,"11:10KIX
13:00ICN
직항, 01시간 50분","성인/롯데 Trip to 로카 카드
왕복 326,400원~"
에어부산,"13:35ICN
15:20KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 327,500원~"
에어부산,"19:40KIX
21:40ICN
직항, 02시간 00분","성인/KB국민카드
왕복 328,200원~"
에어서울,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/KB국민카드
왕복 328,200원~"
제주항공,"18:10KIX
19:55ICN
직항, 01시간 45분","성인/모든 결제수단
왕복 328,800원~"
제주항공,"15:55ICN
17:45KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 328,800원~"
에어서울,"12:50KIX
14:50ICN
직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)
왕복 329,900원~"
제주항공,"12:40ICN
15:00KIX
직항, 02시간 20분","성인/KB국민카드(이용실적 충족시)
왕복 329,900원~"
에어서울,"18:45KIX
20:55ICN
직항, 02시간 10분","성인/모든 결제수단
왕복 331,500원~"
에어서울,"16:00ICN
18:00KIX
직항, 02시간 00분","성인/모든 결제수단
왕복 331,950원~"
에어서울,"11:50KIX
13:50ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 332,200원~"
에어서울,"13:35ICN
15:20KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 332,200원~"
에어서울,"09:55KIX
11:55ICN
직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)
왕복 334,200원~"
이스타항공,"13:35ICN
15:20KIX
직항, 01시간 45분","성인/KB국민카드(이용실적 충족시)
왕복 334,200원~"
에어서울,"19:00KIX
21:00ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 334,750원~"
제주항공,"16:00ICN
18:00KIX
직항, 02시간 00분","성인/모든 결제수단
왕복 335,500원~"
티웨이항공,"19:00KIX
21:00ICN
직항, 02시간 00분","성인/삼성 iD NOMAD 카드
왕복 335,550원~"
에어부산,"16:00ICN
18:00KIX
직항, 02시간 00분","성인/삼성 iD NOMAD 카드
왕복 335,550원~"
에어서울,"09:55KIX
11:55ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 336,600원~"
에어부산,"13:15ICN
15:15KIX
직항, 02시간 00분","성인/KB국민카드
왕복 337,100원~"
에어서울,"09:55KIX
11:55ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 337,600원~"
진에어,"13:15ICN
15:15KIX
직항, 02시간 00분","성인/모든 결제수단
왕복 337,900원~"
진에어,"19:00KIX
21:00ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 338,150원~"
이스타항공,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/KB국민카드(이용실적 충족시)
왕복 339,100원~"
티웨이항공,"09:55KIX
11:55ICN
직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)
왕복 339,100원~"
에어부산,"13:35ICN
15:20KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 339,200원~"
제주항공,"18:30KIX
20:20ICN
직항, 01시간 50분","성인/모든 결제수단
왕복 340,000원~"
티웨이항공,"15:55ICN
17:45KIX
직항, 01시간 50분","성인/KB국민카드
왕복 340,700원~"
티웨이항공,"19:00KIX
21:00ICN
직항, 02시간 00분","성인/모든 결제수단
왕복 340,700원~"
에어서울,"15:55ICN
17:45KIX
직항, 01시간 50분","성인/신한카드
할인
특가확인
왕복 340,900원~"
제주항공,"09:55KIX
11:55ICN
직항, 02시간 00분","성인/신한카드
할인
특가확인
왕복 340,900원~"
제주항공,"16:05ICN
18:00KIX
직항, 01시간 55분","성인/모든 결제수단
왕복 341,400원~"
에어서울,"13:10KIX
15:00ICN
직항, 01시간 50분","성인/모든 결제수단
왕복 342,300원~"
제주항공,"16:05ICN
18:00KIX
직항, 01시간 55분","성인/모든 결제수단
왕복 343,000원~"
에어부산,"10:40KIX
12:35ICN
직항, 01시간 55분","성인/삼성카드
할인
특가확인
왕복 343,300원~"
제주항공,"15:15ICN
17:00KIX
직항, 01시간 45분","성인/모든 결제수단
왕복 343,300원~"
에어부산,"18:30KIX
20:20ICN
직항, 01시간 50분","성인/모든 결제수단
왕복 343,900원~"
에어부산,"15:55ICN
17:45KIX
직항, 01시간 50분","성인/모든 결제수단
왕복 344,550원~"
