항공,출발 시간,도착 시간,소요 시간,카드사,가격
아시아나항공,11:50,17:10,"직항, 10시간 20분",성인/KB국민카드(이용실적 충족시),"1,059,900"
"하와이안항공, 아시아나항공",12:25,22:05,"경유 1, 14시간 40분",허니문/KB국민카드(이용실적 충족시),"1,104,300"
유나이티드항공,13:30,04:20,"경유 1, 19시간 50분",성인/KB국민카드(이용실적 충족시),"1,269,400"
유나이티드항공,13:30,15:00,"경유 1, 30시간 30분",성인/KB국민카드(이용실적 충족시),"1,283,200"
대한항공,12:35,17:45,"직항, 10시간 10분",성인/KB국민카드(이용실적 충족시),"1,285,100"
델타항공,12:35,17:45,"직항, 10시간 10분",성인/KB국민카드(이용실적 충족시),"1,285,100"
"아시아나항공, 하와이안항공",12:25,22:05,"경유 1, 14시간 40분",허니문/KB국민카드(이용실적 충족시),"1,293,200"
유나이티드항공,13:30,15:00,"경유 1, 30시간 30분",성인/KB국민카드(이용실적 충족시),"1,297,000"
대한항공,12:35,17:45,"직항, 10시간 10분",성인/삼성 iD NOMAD 카드,"1,297,200"
델타항공,12:35,17:45,"직항, 10시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,320,800"
유나이티드항공,13:30,04:20,"경유 1, 19시간 50분",성인/Mile1 하나카드,"1,321,400"
유나이티드항공,23:30,04:20,"경유 1, 33시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,323,500"
유나이티드항공,13:30,04:20,"경유 1, 19시간 50분",성인/삼성카드,"1,325,300"
유나이티드항공,13:30,15:00,"경유 1, 30시간 30분",성인/Mile1 하나카드,"1,336,400"
유나이티드항공,23:30,04:20,"경유 1, 33시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,338,500"
유나이티드항공,13:30,15:00,"경유 1, 30시간 30분",성인/삼성카드,"1,340,300"
델타항공,20:50,16:30,"경유 1, 24시간 40분",성인/KB국민카드(이용실적 충족시),"1,377,300"
델타항공,13:35,16:30,"경유 1, 31시간 55분",성인/KB국민카드(이용실적 충족시),"1,398,100"
대한항공,20:50,16:30,"경유 1, 24시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,398,600"
유나이티드항공,13:30,04:20,"경유 1, 19시간 50분",성인/KB국민카드,"1,411,900"
대한항공,13:35,16:30,"경유 1, 31시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,421,200"
유나이티드항공,23:30,04:20,"경유 1, 33시간 50분",성인/KB국민카드,"1,426,900"
델타항공,12:45,05:00,"경유 1, 21시간 15분",성인/KB국민카드(이용실적 충족시),"1,446,300"
"대한항공, 델타항공",12:35,17:45,"직항, 10시간 10분",성인/삼성카드,"1,448,800"
"진에어, 델타항공",12:35,17:45,"직항, 10시간 10분",성인/KB국민카드(이용실적 충족시),"1,456,800"
대한항공,12:45,05:00,"경유 1, 21시간 15분",성인/BC바로카드,"1,471,500"
델타항공,20:50,16:40,"경유 1, 24시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,486,700"
대한항공,20:38,05:00,"경유 1, 37시간 22분",성인/신한카드,"1,496,300"
"하와이안항공, 아시아나항공",14:20,14:25,"경유 1, 29시간 05분",허니문/KB국민카드(이용실적 충족시),"1,528,200"
델타항공,13:35,16:40,"경유 1, 32시간 05분",성인/삼성카드,"1,532,400"
"하와이안항공, ANA",14:20,11:00,"경유 1, 25시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,544,300"
"대한항공, 델타항공",20:50,16:30,"경유 1, 24시간 40분",성인/삼성카드,"1,545,200"
"진에어, 델타항공",20:50,16:30,"경유 1, 24시간 40분",성인/KB국민카드(이용실적 충족시),"1,549,000"
대한항공,16:05,16:30,"경유 1, 29시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,556,700"
"아시아나항공, 하와이안항공",14:20,14:25,"경유 1, 29시간 05분",허니문/KB국민카드(이용실적 충족시),"1,567,800"
"진에어, 델타항공",13:35,16:30,"경유 1, 31시간 55분",성인/KB국민카드(이용실적 충족시),"1,569,800"
