항공,CO2,출발 시간,도착 시간,소요 시간,카드사,가격
LOT폴란드항공,43%,10:45,06:20,"경유 1, 36시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,219,000원~"
LOT폴란드항공,44%,10:45,06:20,"경유 1, 36시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,286,600원~"
LOT폴란드항공,44%,19:45,06:20,"경유 1, 27시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,301,800원~"
LOT폴란드항공,45%,19:45,06:20,"경유 1, 27시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,369,400원~"
핀에어,48%,18:55,11:20,"경유 1, 33시간 25분",성인/KB국민카드(이용실적 충족시),"왕복 1,439,500원~"
핀에어,48%,10:50,11:20,"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"왕복 1,477,600원~"
LOT폴란드항공,43%,07:05,09:30,"경유 2, 19시간 25분",성인/삼성카드,"왕복 1,490,700원~"
LOT폴란드항공,,14:00,16:35,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,494,100원~"
아시아나항공,42%,20:05,15:05,"직항, 12시간 00분",성인/삼성카드,"왕복 1,526,700원~"
LOT폴란드항공,43%,07:05,09:30,"경유 2, 19시간 25분",성인/삼성카드,"왕복 1,561,100원~"
LOT폴란드항공,38%,07:05,09:30,"경유 2, 19시간 25분",성인/삼성카드,"왕복 1,565,500원~"
아시아나항공,,14:00,16:35,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,590,700원~"
대한항공,27%,21:00,15:55,"직항, 11시간 55분",성인/삼성 iD NOMAD 카드,"왕복 1,672,000원~"
LOT폴란드항공,,20:20,16:35,"경유 1, 13시간 15분",성인/KB국민카드(이용실적 충족시),"왕복 1,754,700원~"
폴란드항공,,10:50,11:20,"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"왕복 1,763,200원~"
폴란드항공,,17:50,16:25,"경유 1, 15시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,777,700원~"
폴란드항공,,11:45,16:25,"경유 1, 21시간 40분",성인/KB국민카드(이용실적 충족시),"왕복 1,806,000원~"
폴란드항공,,10:20,11:40,"경유 1, 18시간 20분",성인/KB국민카드(이용실적 충족시),"왕복 1,816,200원~"
"아시아나항공, 에어프랑스",42%,07:40,13:20,"경유 1, 22시간 40분",성인/삼성 iD NOMAD 카드,"왕복 1,768,800원~"
루프트한자,42%,06:45,09:55,"경유 1, 20시간 10분",성인/모든 결제수단,"왕복 1,724,000원~"
"아시아나항공, 에어프랑스",41%,13:20,17:25,"경유 1, 21시간 05분",성인/삼성 iD NOMAD 카드,"왕복 1,783,800원~"
아시아나항공,,19:45,06:20,"경유 1, 27시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,841,100원~"
아시아나항공,,20:20,16:35,"경유 1, 13시간 15분",성인/KB국민카드(이용실적 충족시),"왕복 1,851,300원~"
"아시아나항공, 터키항공",20%,11:05,09:20,"경유 1, 15시간 15분",성인/삼성 iD NOMAD 카드,"왕복 1,802,600원~"
아시아나항공,,10:50,11:20,"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"왕복 1,859,800원~"
폴란드항공,,13:40,15:25,"경유 1, 18시간 45분",성인/KB국민카드(이용실적 충족시),"왕복 1,862,700원~"
사우디아항공,,14:00,16:35,"경유 1, 19시간 35분",성인/모든 결제수단,"왕복 1,867,000원~"
아시아나항공,,17:50,16:25,"경유 1, 15시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,874,300원~"
루프트한자,42%,09:55,09:55,"경유 2, 17시간 00분",성인/삼성 iD NOMAD 카드,"왕복 1,874,400원~"
폴란드항공,,12:05,14:10,"경유 1, 19시간 05분",성인/KB국민카드(이용실적 충족시),"왕복 1,874,600원~"
루프트한자,42%,12:10,09:55,"경유 1, 14시간 45분",성인/모든 결제수단,"왕복 1,784,000원~"
폴란드항공,,20:05,15:05,"직항, 12시간 00분",성인/모든 결제수단,"왕복 1,887,200원~"
아시아나항공,,12:30,11:35,"경유 1, 16시간 05분",성인/NH채움카드,"왕복 1,908,600원~"
아시아나항공,,07:05,09:30,"경유 2, 19시간 25분",성인/KB국민카드(이용실적 충족시),"왕복 1,909,900원~"
아시아나항공,,10:20,11:40,"경유 1, 18시간 20분",성인/KB국민카드(이용실적 충족시),"왕복 1,912,800원~"
아시아나항공,,07:20,11:20,"경유 1, 21시간 00분",성인/NH채움카드,"왕복 1,917,800원~"
대한항공,13%,13:25,08:40,"직항, 12시간 15분",성인/Mile1 하나카드,"왕복 1,935,800원~"
아시아나항공,,13:40,15:25,"경유 1, 18시간 45분",성인/KB국민카드(이용실적 충족시),"왕복 1,959,300원~"
루프트한자,16%,10:35,09:55,"경유 1, 16시간 20분",성인/모든 결제수단,"왕복 1,854,000원~"
아시아나항공,,09:15,16:25,"경유 1, 24시간 10분",성인/NH채움카드,"왕복 1,964,300원~"
아시아나항공,,10:15,16:25,"경유 1, 23시간 10분",성인/NH채움카드,"왕복 1,965,700원~"
아시아나항공,,12:05,14:10,"경유 1, 19시간 05분",성인/KB국민카드(이용실적 충족시),"왕복 1,971,200원~"
폴란드항공,,13:25,08:40,"직항, 12시간 15분",성인/KB국민카드(이용실적 충족시),"왕복 1,984,400원~"
에티하드항공,20%,10:20,11:40,"경유 1, 18시간 20분",성인/롯데카드,"왕복 1,940,700원~"
루프트한자,15%,06:45,09:55,"경유 2, 20시간 10분",성인/삼성 iD NOMAD 카드,"왕복 1,989,500원~"
캐세이퍼시픽항공,18%,12:05,14:10,"경유 1, 19시간 05분",학생/KB국민카드(이용실적 충족시),"왕복 1,862,800원~"
폴란드항공,,17:50,16:25,"경유 1, 15시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 1,997,700원~"
"아시아나항공, 터키항공",19%,19:50,17:40,"경유 1, 14시간 50분",성인/삼성 iD NOMAD 카드,"왕복 1,941,800원~"
폴란드항공,,12:10,09:55,"경유 1, 14시간 45분",성인/KB국민카드(이용실적 충족시),"왕복 2,022,500원~"
대한항공,,20:20,16:35,"경유 1, 13시간 15분",성인/KB국민카드(이용실적 충족시),"왕복 2,023,200원~"
루프트한자,42%,06:45,09:55,"경유 1, 20시간 10분",성인/모든 결제수단,"왕복 1,795,800원~"
아시아나항공,,12:05,19:15,"경유 1, 24시간 10분",성인/NH채움카드,"왕복 2,033,500원~"
루프트한자,16%,11:30,09:55,"경유 1, 15시간 25분",성인/모든 결제수단,"왕복 1,906,600원~"
대한항공,,17:50,16:25,"경유 1, 15시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 2,046,200원~"
폴란드항공,,17:55,17:40,"경유 1, 16시간 45분",성인/KB국민카드(이용실적 충족시),"왕복 2,066,500원~"
루프트한자,42%,06:45,09:55,"경유 1, 20시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"왕복 2,005,200원~"
대한항공,,11:45,16:25,"경유 1, 21시간 40분",성인/KB국민카드(이용실적 충족시),"왕복 2,074,500원~"
루프트한자,42%,06:45,09:55,"경유 1, 20시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"왕복 2,015,200원~"
아시아나항공,,13:25,08:40,"직항, 12시간 15분",성인/KB국민카드(이용실적 충족시),"왕복 2,081,000원~"
루프트한자,13%,06:45,09:55,"경유 1, 20시간 10분",성인/삼성 iD NOMAD 카드,"왕복 2,081,300원~"
루프트한자,42%,12:10,09:55,"경유 1, 14시간 45분",성인/모든 결제수단,"왕복 1,855,800원~"
아시아나항공,,17:50,16:25,"경유 1, 15시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 2,094,300원~"
에어프랑스,,14:00,16:35,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"왕복 2,110,400원~"
에어프랑스,13%,13:25,08:40,"직항, 12시간 15분",성인/모든 결제수단,"왕복 1,763,700원~"
대한항공,10%,21:00,15:55,"직항, 11시간 55분",성인/Mile1 하나카드,"왕복 2,026,300원~"
아시아나항공,,12:10,09:55,"경유 1, 14시간 45분",성인/KB국민카드(이용실적 충족시),"왕복 2,119,100원~"
아시아나항공,,21:00,15:55,"직항, 11시간 55분",성인/KB국민카드(이용실적 충족시),"왕복 2,119,800원~"
아시아나항공,,19:50,17:40,"경유 1, 14시간 50분",성인/NH채움카드,"왕복 2,123,500원~"
캐세이퍼시픽항공,18%,12:05,14:10,"경유 1, 19시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"왕복 2,084,600원~"
루프트한자,42%,12:10,09:55,"경유 1, 14시간 45분",성인/현대 M2/M3 Edition2(이용실적 충족시),"왕복 2,059,200원~"
아시아나항공,,11:30,09:55,"경유 1, 15시간 25분",성인/KB국민카드(이용실적 충족시),"왕복 2,128,300원~"
대한항공,,12:30,11:35,"경유 1, 16시간 05분",성인/삼성카드,"왕복 2,130,300원~"
대한항공,,13:40,15:25,"경유 1, 18시간 45분",성인/KB국민카드(이용실적 충족시),"왕복 2,131,200원~"
루프트한자,14%,06:45,09:55,"경유 1, 20시간 10분",성인/KB국민카드(이용실적 충족시),"왕복 2,025,400원~"
대한항공,,12:05,14:10,"경유 1, 19시간 05분",성인/KB국민카드(이용실적 충족시),"왕복 2,143,100원~"
루프트한자,42%,07:25,09:55,"경유 2, 19시간 30분",성인/삼성 iD NOMAD 카드,"왕복 2,155,700원~"
사우디아항공,,10:50,11:20,"경유 1, 17시간 30분",성인/롯데카드,"왕복 2,161,800원~"
루프트한자,42%,06:45,09:55,"경유 1, 20시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"왕복 2,098,200원~"
아시아나항공,,17:55,17:40,"경유 1, 16시간 45분",성인/KB국민카드(이용실적 충족시),"왕복 2,163,100원~"
루프트한자,12%,06:45,09:55,"경유 1, 20시간 10분",성인/삼성 iD NOMAD 카드,"왕복 2,163,400원~"
루프트한자,13%,06:45,09:55,"경유 1, 20시간 10분",성인/삼성 iD NOMAD 카드,"왕복 2,164,300원~"
폴란드항공,,13:25,08:40,"직항, 12시간 15분",성인/KB국민카드(이용실적 충족시),"왕복 2,167,200원~"
