가는 편,가는 편,가는 편,가는 편,오는 편,오는 편,오는 편,오는 편,구분,구분
항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,카드사,가격(원)
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/KB국민카드(이용실적 충족시),"1,012,300"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",중국국제항공,12:10 (BCN),16:35 (ICN),"경유 1, 21시간 25분",성인/모든 결제수단,"1,074,100"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,11:10 (BCN),18:55 (ICN),"경유 2, 24시간 45분",성인/롯데카드,"1,076,500"
에티하드항공,19:20 (ICN),07:55 (BCN),"경유 2, 43시간 35분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/롯데카드,"1,077,100"
에티하드항공,19:20 (ICN),07:55 (BCN),"경유 2, 43시간 35분",에티하드항공,11:10 (BCN),18:55 (ICN),"경유 2, 24시간 45분",성인/롯데카드,"1,085,000"
중국국제항공,14:40 (ICN),08:15 (BCN),"경유 1, 24시간 35분",중국국제항공,12:10 (BCN),11:35 (ICN),"경유 1, 16시간 25분",성인/삼성 iD NOMAD 카드,"1,098,400"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/KB국민카드(이용실적 충족시),"1,146,400"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"1,163,500"
"중국동방항공, 에티하드항공",15:40 (ICN),07:55 (BCN),"경유 2, 23시간 15분","중국동방항공, 에티하드항공",11:10 (BCN),14:40 (ICN),"경유 2, 20시간 30분",성인/모든 결제수단,"1,167,000"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/BC바로카드,"1,212,900"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:10 (BCN),18:55 (ICN),"경유 2, 24시간 45분",성인/롯데카드,"1,214,700"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,11:10 (BCN),11:00 (ICN),"경유 2, 40시간 50분",성인/롯데카드,"1,215,500"
