out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
부엘링항공,19:25,19:30,"직항, 01시간 05분",부엘링항공,19:20,21:40,"직항, 01시간 20분",성인/모든 결제수단,"210,624"
이지제트,08:55,09:10,"직항, 01시간 15분",이지제트,06:05,08:25,"직항, 01시간 20분",성인/모든 결제수단,"218,395"
이지제트,22:00,22:15,"직항, 01시간 15분",이지제트,06:05,08:25,"직항, 01시간 20분",성인/모든 결제수단,"222,066"
부엘링항공,14:00,14:10,"직항, 01시간 10분",부엘링항공,14:30,16:50,"직항, 01시간 20분",성인/모든 결제수단,"233,101"
부엘링항공,19:25,19:30,"직항, 01시간 05분",부엘링항공,12:50,15:10,"직항, 01시간 20분",성인/모든 결제수단,"261,390"
이지제트,14:15,14:25,"직항, 01시간 10분",이지제트,07:55,10:15,"직항, 01시간 20분",성인/모든 결제수단,"265,355"
이지제트,07:10,07:20,"직항, 01시간 10분",이지제트,07:55,10:15,"직항, 01시간 20분",성인/모든 결제수단,"270,318"
이지제트,19:15,19:25,"직항, 01시간 10분",이지제트,07:55,10:15,"직항, 01시간 20분",성인/모든 결제수단,"273,988"
이지제트,08:55,09:10,"직항, 01시간 15분",이지제트,15:05,17:25,"직항, 01시간 20분",성인/모든 결제수단,"285,736"
이지제트,22:00,22:15,"직항, 01시간 15분",이지제트,15:05,17:25,"직항, 01시간 20분",성인/모든 결제수단,"289,406"
영국항공,22:00,22:15,"직항, 01시간 15분",영국항공,20:35,22:55,"직항, 01시간 20분",성인/모든 결제수단,"292,500"
이지제트,14:15,14:25,"직항, 01시간 10분",이지제트,20:15,22:30,"직항, 01시간 15분",성인/모든 결제수단,"295,208"
영국항공,22:00,22:15,"직항, 01시간 15분",영국항공,18:20,20:40,"직항, 01시간 20분",성인/모든 결제수단,"296,900"
이지제트,07:10,07:20,"직항, 01시간 10분",이지제트,20:15,22:30,"직항, 01시간 15분",성인/모든 결제수단,"300,808"
이지제트,07:10,07:20,"직항, 01시간 10분",이지제트,17:05,19:20,"직항, 01시간 15분",성인/모든 결제수단,"307,455"
영국항공,22:00,22:15,"직항, 01시간 15분",영국항공,13:10,15:30,"직항, 01시간 20분",성인/모든 결제수단,"312,900"
영국항공,22:00,22:15,"직항, 01시간 15분",영국항공,15:10,17:30,"직항, 01시간 20분",성인/모든 결제수단,"312,900"
이지제트,08:55,09:10,"직항, 01시간 15분",이지제트,19:50,22:10,"직항, 01시간 20분",성인/모든 결제수단,"327,232"
영국항공,22:00,22:15,"직항, 01시간 15분",영국항공,07:20,09:40,"직항, 01시간 20분",성인/모든 결제수단,"327,500"
이지제트,22:00,22:15,"직항, 01시간 15분",이지제트,19:50,22:10,"직항, 01시간 20분",성인/모든 결제수단,"330,887"
에어프랑스,21:00,21:25,"직항, 01시간 25분",에어프랑스,06:15,08:35,"직항, 01시간 20분",성인/모든 결제수단,"336,562"
에어프랑스,18:15,18:35,"직항, 01시간 20분",에어프랑스,06:15,08:35,"직항, 01시간 20분",성인/모든 결제수단,"350,800"
에어프랑스,21:00,21:25,"직항, 01시간 25분",에어프랑스,11:30,13:50,"직항, 01시간 20분",성인/모든 결제수단,"350,868"
에어프랑스,21:00,21:25,"직항, 01시간 25분",에어프랑스,17:35,19:55,"직항, 01시간 20분",성인/모든 결제수단,"350,868"
스칸디나비아항공사,11:10,16:00,"경유 1, 05시간 50분",영국항공,20:35,22:55,"직항, 01시간 20분",성인/모든 결제수단,"354,900"
영국항공,19:10,19:25,"직항, 01시간 15분",영국항공,20:35,22:55,"직항, 01시간 20분",성인/모든 결제수단,"355,100"
에어프랑스,21:00,21:25,"직항, 01시간 25분",에어프랑스,19:45,22:00,"직항, 01시간 15분",성인/모든 결제수단,"355,295"
영국항공,19:10,19:25,"직항, 01시간 15분",영국항공,18:20,20:40,"직항, 01시간 20분",성인/모든 결제수단,"359,500"
영국항공,22:00,22:15,"직항, 01시간 15분",영국항공,11:55,14:15,"직항, 01시간 20분",성인/모든 결제수단,"359,500"
스칸디나비아항공사,11:10,16:00,"경유 1, 05시간 50분",영국항공,18:20,20:40,"직항, 01시간 20분",성인/모든 결제수단,"362,200"
에어프랑스,21:00,21:25,"직항, 01시간 25분",에어프랑스,09:00,11:20,"직항, 01시간 20분",성인/모든 결제수단,"368,573"
에어프랑스,21:00,21:25,"직항, 01시간 25분",에어프랑스,15:20,17:40,"직항, 01시간 20분",성인/모든 결제수단,"371,524"
