out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
LOT폴란드항공,19:25,06:20,"경유 1, 27시간 55분",LOT폴란드항공,11:20,09:50,"경유 1, 29시간 30분",성인/KB국민카드(이용실적 충족시),"1,063,600"
LOT폴란드항공,19:25,09:30,"경유 1, 31시간 05분",LOT폴란드항공,11:20,09:50,"경유 1, 29시간 30분",성인/KB국민카드(이용실적 충족시),"1,103,800"
LOT폴란드항공,19:25,06:20,"경유 1, 27시간 55분",LOT폴란드항공,11:20,22:45,"경유 1, 18시간 25분",성인/KB국민카드(이용실적 충족시),"1,130,600"
LOT폴란드항공,19:25,06:20,"경유 1, 27시간 55분",LOT폴란드항공,08:15,22:45,"경유 2, 21시간 30분",성인/모든 결제수단,"1,166,000"
LOT폴란드항공,19:25,09:30,"경유 1, 31시간 05분",LOT폴란드항공,11:20,22:45,"경유 1, 18시간 25분",성인/KB국민카드(이용실적 충족시),"1,170,800"
LOT폴란드항공,10:45,06:20,"경유 1, 36시간 35분",LOT폴란드항공,11:20,09:50,"경유 1, 29시간 30분",성인/모든 결제수단,"1,192,300"
"에어프랑스, 중국남방항공",18:15,22:10,"경유 2, 20시간 55분","에어프랑스, 중국남방항공",15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,205,786"
LOT폴란드항공,19:25,09:30,"경유 1, 31시간 05분",LOT폴란드항공,08:15,22:45,"경유 2, 21시간 30분",성인/모든 결제수단,"1,209,200"
"에어프랑스, 루프트한자",21:15,09:55,"경유 2, 29시간 40분",중국남방항공,15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,222,738"
"에어프랑스, 중국남방항공",07:35,22:10,"경유 2, 31시간 35분","에어프랑스, 중국남방항공",15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,262,000"
LOT폴란드항공,10:45,06:20,"경유 1, 36시간 35분",LOT폴란드항공,11:20,22:45,"경유 1, 18시간 25분",성인/모든 결제수단,"1,264,300"
"이지제트, 루프트한자",12:10,09:55,"경유 2, 38시간 45분",중국남방항공,15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,297,922"
"에어프랑스, 중국남방항공",16:10,22:10,"경유 2, 23시간 00분","에어프랑스, 중국남방항공",15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,301,931"
"스칸디나비아항공사, 루프트한자",10:50,09:55,"경유 3, 40시간 05분",중국남방항공,15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,304,893"
루프트한자,14:25,09:55,"경유 1, 36시간 30분",루프트한자,11:40,23:30,"경유 1, 18시간 50분",성인/KB국민카드(이용실적 충족시),"1,361,900"
"영국항공, 중국남방항공",08:10,22:10,"경유 2, 31시간 00분","영국항공, 중국남방항공",15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,374,477"
루프트한자,14:25,09:55,"경유 1, 36시간 30분",루프트한자,11:40,08:20,"경유 1, 27시간 40분",성인/KB국민카드(이용실적 충족시),"1,392,900"
루프트한자,14:25,09:55,"경유 1, 36시간 30분",루프트한자,11:40,08:35,"경유 2, 27시간 55분",성인/KB국민카드(이용실적 충족시),"1,405,400"
루프트한자,18:00,09:55,"경유 1, 32시간 55분",루프트한자,11:40,23:30,"경유 1, 18시간 50분",성인/KB국민카드(이용실적 충족시),"1,415,500"
루프트한자,18:00,09:55,"경유 1, 32시간 55분",스위스항공,09:55,19:25,"경유 1, 16시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,440,000"
루프트한자,18:00,09:55,"경유 1, 32시간 55분",루프트한자,11:40,08:20,"경유 1, 27시간 40분",성인/KB국민카드(이용실적 충족시),"1,446,500"
루프트한자,14:30,09:55,"경유 2, 36시간 25분",루프트한자,11:40,23:30,"경유 1, 18시간 50분",성인/KB국민카드(이용실적 충족시),"1,449,900"
루프트한자,18:00,09:55,"경유 1, 32시간 55분",루프트한자,11:40,08:35,"경유 2, 27시간 55분",성인/KB국민카드(이용실적 충족시),"1,459,000"
루프트한자,14:25,09:55,"경유 1, 36시간 30분",스위스항공,09:55,19:25,"경유 1, 16시간 30분",성인/모든 결제수단,"1,463,700"
"영국항공, 카타르항공",22:00,17:35,"경유 2, 36시간 35분",중국남방항공,15:15,06:50,"경유 1, 22시간 35분",성인/모든 결제수단,"1,464,879"
루프트한자,14:30,09:55,"경유 2, 36시간 25분",루프트한자,11:40,08:20,"경유 1, 27시간 40분",성인/KB국민카드(이용실적 충족시),"1,480,900"
핀에어,18:55,11:20,"경유 1, 33시간 25분",핀에어,21:40,09:40,"경유 1, 19시간 00분",성인/모든 결제수단,"1,484,200"
루프트한자,18:00,09:55,"경유 1, 32시간 55분",루프트한자,11:40,13:45,"경유 1, 33시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,489,400"
