out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
터키항공,06:55,08:45,"경유 1, 36시간 50분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/KB국민카드(이용실적 충족시),"1,353,600"
터키항공,06:55,08:45,"경유 1, 36시간 50분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/모든 결제수단,"1,418,500"
터키항공,12:40,08:45,"경유 1, 31시간 05분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/KB국민카드(이용실적 충족시),"1,426,800"
터키항공,06:55,08:45,"경유 1, 36시간 50분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/모든 결제수단,"1,462,200"
터키항공,12:40,08:45,"경유 1, 31시간 05분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/모든 결제수단,"1,475,000"
터키항공,12:40,08:45,"경유 1, 31시간 05분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/모든 결제수단,"1,531,400"
터키항공,19:25,08:45,"경유 1, 24시간 20분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/모든 결제수단,"1,554,400"
터키항공,19:25,08:45,"경유 1, 24시간 20분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/모든 결제수단,"1,596,700"
중화항공,01:20,11:10,"경유 1, 20시간 50분",중화항공,12:25,19:20,"경유 1, 20시간 55분",성인/KB국민카드(이용실적 충족시),"1,624,600"
터키항공,06:55,17:40,"경유 1, 21시간 45분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/모든 결제수단,"1,664,500"
터키항공,19:25,08:45,"경유 1, 24시간 20분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/신한카드,"1,701,600"
터키항공,06:55,17:40,"경유 1, 21시간 45분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/모든 결제수단,"1,705,900"
중화항공,01:20,19:45,"경유 1, 29시간 25분",중화항공,12:25,19:20,"경유 1, 20시간 55분",성인/모든 결제수단,"1,712,069"
에바항공,01:25,11:00,"경유 1, 20시간 35분",에바항공,19:45,21:05,"경유 1, 39시간 20분",성인/모든 결제수단,"1,733,500"
터키항공,06:55,17:40,"경유 1, 21시간 45분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/신한카드,"1,755,100"
LOT폴란드항공,22:20,09:30,"경유 2, 46시간 10분",LOT폴란드항공,08:50,20:35,"경유 1, 25시간 45분",성인/KB국민카드(이용실적 충족시),"1,778,800"
터키항공,00:25,17:40,"경유 1, 28시간 15분",터키항공,00:15,23:35,"경유 1, 36시간 20분",성인/신한카드,"1,808,500"
터키항공,00:20,08:45,"경유 1, 43시간 25분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/모든 결제수단,"1,809,000"
에바항공,01:25,18:45,"경유 1, 28시간 20분",에바항공,19:45,21:05,"경유 1, 39시간 20분",성인/모든 결제수단,"1,853,300"
LOT폴란드항공,19:45,06:20,"경유 1, 21시간 35분",LOT폴란드항공,08:50,20:35,"경유 1, 25시간 45분",성인/KB국민카드(이용실적 충족시),"1,872,700"
터키항공,12:40,17:40,"경유 1, 40시간 00분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/모든 결제수단,"1,875,800"
LOT폴란드항공,19:45,09:30,"경유 2, 48시간 45분",LOT폴란드항공,08:50,20:35,"경유 1, 25시간 45분",성인/모든 결제수단,"1,923,800"
에바항공,01:25,11:00,"경유 1, 20시간 35분",에바항공,11:40,21:05,"경유 1, 23시간 25분",성인/모든 결제수단,"1,951,100"
LOT폴란드항공,22:20,09:30,"경유 2, 46시간 10분",LOT폴란드항공,08:50,20:35,"경유 1, 25시간 45분",성인/모든 결제수단,"1,991,300"
LOT폴란드항공,17:45,06:20,"경유 1, 23시간 35분",LOT폴란드항공,08:50,20:35,"경유 1, 25시간 45분",성인/모든 결제수단,"1,993,800"
에어프레미아,01:00,04:55,"직항, 14시간 55분",에어프레미아,21:30,21:30,"직항, 14시간 00분",성인/KB국민카드(이용실적 충족시),"1,999,200"
터키항공,00:20,17:40,"경유 1, 28시간 20분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/신한카드,"2,028,800"
중화항공,01:20,11:10,"경유 1, 20시간 50분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,030,200"
터키항공,00:20,08:45,"경유 1, 43시간 25분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/모든 결제수단,"2,053,400"
에바항공,01:25,18:45,"경유 1, 28시간 20분",에바항공,11:40,21:05,"경유 1, 23시간 25분",성인/모든 결제수단,"2,071,400"
에바항공,01:25,11:00,"경유 1, 20시간 35분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,078,400"
터키항공,00:20,08:45,"경유 1, 43시간 25분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/모든 결제수단,"2,080,400"
터키항공,12:40,17:40,"경유 1, 40시간 00분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/모든 결제수단,"2,120,100"
터키항공,19:25,17:40,"경유 1, 33시간 15분",터키항공,00:15,23:00,"경유 1, 35시간 45분",성인/신한카드,"2,122,300"
에바항공,01:25,11:00,"경유 1, 20시간 35분",중화항공,12:25,19:20,"경유 1, 20시간 55분",성인/모든 결제수단,"2,133,400"
에어프레미아,01:00,04:55,"직항, 14시간 55분",에어캐나다,18:45,16:15,"경유 1, 35시간 30분",성인/모든 결제수단,"2,139,100"
터키항공,12:40,17:40,"경유 1, 40시간 00분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/모든 결제수단,"2,147,100"
에바항공,01:25,11:00,"경유 1, 20시간 35분",싱가포르항공,16:35,11:15,"경유 2, 32시간 40분",성인/모든 결제수단,"2,172,100"
중화항공,01:20,11:10,"경유 1, 20시간 50분",싱가포르항공,16:35,11:15,"경유 2, 32시간 40분",성인/모든 결제수단,"2,174,400"
"에바항공, 아시아나항공",01:25,11:00,"경유 1, 20시간 35분","에바항공, 아시아나항공",13:50,21:05,"경유 1, 21시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"2,191,600"
에어캐나다,09:00,16:25,"경유 1, 18시간 25분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/KB국민카드(이용실적 충족시),"2,195,400"
에어캐나다,10:30,17:30,"경유 1, 18시간 00분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/KB국민카드(이용실적 충족시),"2,203,300"
KLM네덜란드항공,19:40,16:40,"경유 1, 32시간 00분",KLM네덜란드항공,23:10,14:35,"경유 1, 29시간 25분",성인/모든 결제수단,"2,210,000"
터키항공,06:55,17:40,"경유 1, 21시간 45분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,235,200"
에어캐나다,06:45,17:30,"경유 1, 21시간 45분",에어캐나다,20:10,22:31,"경유 1, 16시간 21분",성인/현대 M2/M3 Edition2(이용실적 충족시),"2,236,000"
싱가포르항공,20:55,15:35,"경유 2, 29시간 40분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,259,000"
터키항공,19:25,08:45,"경유 1, 24시간 20분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,260,900"
터키항공,00:20,17:40,"경유 1, 28시간 20분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/신한카드,"2,273,200"
에어프랑스,22:30,08:40,"경유 1, 21시간 10분",에어프랑스,11:45,22:45,"경유 1, 25시간 00분",성인/모든 결제수단,"2,279,500"
캐세이퍼시픽항공,14:55,21:15,"경유 1, 41시간 20분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,284,500"
터키항공,00:20,17:40,"경유 1, 28시간 20분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/신한카드,"2,299,900"
싱가포르항공,20:55,15:35,"경유 2, 29시간 40분",싱가포르항공,16:35,11:15,"경유 2, 32시간 40분",성인/모든 결제수단,"2,303,400"
싱가포르항공,20:55,15:35,"경유 2, 29시간 40분",중화항공,12:25,19:20,"경유 1, 20시간 55분",성인/모든 결제수단,"2,314,000"
터키항공,19:25,08:45,"경유 1, 24시간 20분",중화항공,12:25,19:20,"경유 1, 20시간 55분",성인/모든 결제수단,"2,315,900"
에어캐나다,08:35,16:25,"경유 1, 18시간 50분",에어캐나다,20:10,10:46,"경유 1, 28시간 36분",성인/모든 결제수단,"2,320,700"
중화항공,01:20,11:10,"경유 1, 20시간 50분",아시아나항공,09:50,09:40,"직항, 13시간 50분",성인/모든 결제수단,"2,327,600"
에어캐나다,10:10,17:30,"경유 1, 18시간 20분",에어캐나다,20:10,10:46,"경유 1, 28시간 36분",성인/모든 결제수단,"2,328,700"
캐세이퍼시픽항공,14:55,21:15,"경유 1, 41시간 20분",캐세이퍼시픽항공,13:50,12:10,"경유 1, 36시간 20분",성인/모든 결제수단,"2,336,700"
에어캐나다,15:45,17:30,"경유 1, 36시간 45분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,338,300"
캐세이퍼시픽항공,14:55,21:15,"경유 1, 41시간 20분",중화항공,12:25,19:20,"경유 1, 20시간 55분",성인/모든 결제수단,"2,339,500"
에어캐나다,19:40,17:30,"경유 1, 32시간 50분",에어캐나다,20:10,22:31,"경유 1, 16시간 21분",성인/모든 결제수단,"2,342,900"
KLM네덜란드항공,17:35,16:40,"경유 1, 34시간 05분",KLM네덜란드항공,23:10,14:35,"경유 1, 29시간 25분",성인/모든 결제수단,"2,344,900"
"에바항공, 아시아나항공",01:25,11:00,"경유 1, 20시간 35분","에바항공, 아시아나항공",11:40,21:05,"경유 1, 23시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"2,353,100"
터키항공,19:25,08:45,"경유 1, 24시간 20분",싱가포르항공,16:35,11:15,"경유 2, 32시간 40분",성인/모든 결제수단,"2,360,700"
터키항공,19:25,17:40,"경유 1, 33시간 15분",터키항공,00:15,12:20,"경유 1, 25시간 05분",성인/모든 결제수단,"2,367,300"
아시아나항공,00:35,05:10,"직항, 15시간 35분",아시아나항공,09:50,09:40,"직항, 13시간 50분",성인/KB국민카드(이용실적 충족시),"2,376,000"
아시아나항공,12:55,17:40,"직항, 15시간 45분",아시아나항공,09:50,09:40,"직항, 13시간 50분",성인/KB국민카드(이용실적 충족시),"2,376,000"
아시아나항공,12:55,17:40,"직항, 15시간 45분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,380,900"
캐세이퍼시픽항공,14:55,21:15,"경유 1, 41시간 20분",캐세이퍼시픽항공,10:10,19:05,"경유 1, 22시간 55분",성인/모든 결제수단,"2,383,500"
캐세이퍼시픽항공,14:55,21:15,"경유 1, 41시간 20분",싱가포르항공,16:35,11:15,"경유 2, 32시간 40분",성인/모든 결제수단,"2,384,300"
터키항공,19:25,17:40,"경유 1, 33시간 15분",터키항공,00:15,19:10,"경유 1, 31시간 55분",성인/모든 결제수단,"2,394,300"
캐세이퍼시픽항공,14:55,21:15,"경유 1, 41시간 20분",캐세이퍼시픽항공,15:00,12:10,"경유 1, 35시간 10분",성인/KB국민카드(이용실적 충족시),"2,395,600"
"제트블루항공, 에바항공",17:46,11:00,"경유 2, 28시간 14분","제트블루항공, 에바항공",19:45,21:05,"경유 1, 39시간 20분",성인/모든 결제수단,"2,400,200"
델타항공,20:30,04:30,"경유 1, 19시간 00분",에어캐나다,20:10,09:16,"경유 1, 27시간 06분",성인/모든 결제수단,"2,403,700"
캐세이퍼시픽항공,10:00,21:15,"경유 1, 22시간 15분",캐세이퍼시픽항공,10:10,19:05,"경유 1, 22시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"2,404,000"
아시아나항공,00:35,05:10,"직항, 15시간 35분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,408,300"
대한항공,09:55,17:20,"경유 1, 18시간 25분",에어캐나다,20:10,09:16,"경유 1, 27시간 06분",성인/모든 결제수단,"2,417,100"
대한항공,13:30,17:50,"직항, 15시간 20분",에어캐나다,20:10,22:21,"경유 1, 16시간 11분",성인/모든 결제수단,"2,421,900"
에바항공,01:25,11:00,"경유 1, 20시간 35분",에바항공,13:50,21:05,"경유 1, 21시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"2,442,400"
델타항공,08:45,16:50,"경유 1, 19시간 05분",에어캐나다,20:10,09:16,"경유 1, 27시간 06분",성인/모든 결제수단,"2,448,300"
델타항공,00:50,04:45,"직항, 14시간 55분",델타항공,10:00,10:00,"직항, 14시간 00분",성인/KB국민카드(이용실적 충족시),"2,451,000"
