out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
스리랑카항공,11:25,20:00,"경유 2, 40시간 35분",스리랑카항공,21:30,18:00,"경유 2, 36시간 30분",성인/KB국민카드(이용실적 충족시),"1,084,600"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",스리랑카항공,21:30,07:00,"경유 2, 49시간 30분",성인/모든 결제수단,"1,096,700"
중국동방항공,14:30,06:40,"경유 1, 24시간 10분",중국동방항공,11:35,15:50,"경유 1, 20시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,119,100"
중국동방항공,14:30,06:40,"경유 1, 24시간 10분",중국동방항공,11:35,18:30,"경유 1, 22시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,227,800"
아시아나항공,20:10,18:50,"경유 1, 30시간 40분",아시아나항공,20:40,21:00,"경유 1, 16시간 20분",성인/KB국민카드(이용실적 충족시),"1,287,200"
스리랑카항공,01:20,20:00,"경유 2, 26시간 40분",스리랑카항공,21:30,18:00,"경유 2, 36시간 30분",성인/모든 결제수단,"1,298,300"
아시아나항공,20:05,18:50,"경유 1, 30시간 45분",아시아나항공,20:40,23:30,"경유 1, 18시간 50분",성인/KB국민카드(이용실적 충족시),"1,303,200"
스리랑카항공,00:05,20:00,"경유 2, 51시간 55분",스리랑카항공,21:30,18:00,"경유 2, 36시간 30분",성인/KB국민카드(이용실적 충족시),"1,331,500"
베트남항공,09:30,17:05,"경유 1, 39시간 35분",베트남항공,17:00,08:00,"경유 1, 31시간 00분",성인/KB국민카드(이용실적 충족시),"1,332,100"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",에티하드항공,20:55,13:00,"경유 1, 32시간 05분",성인/KB국민카드(이용실적 충족시),"1,333,200"
아시아나항공,19:25,18:50,"경유 1, 31시간 25분",아시아나항공,20:40,21:00,"경유 1, 16시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,357,500"
에티하드항공,17:30,06:45,"경유 1, 21시간 15분",에티하드항공,20:55,13:00,"경유 1, 32시간 05분",성인/KB국민카드(이용실적 충족시),"1,359,400"
아시아나항공,12:05,18:50,"경유 1, 38시간 45분",아시아나항공,20:40,23:30,"경유 1, 18시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,374,900"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,379,200"
아시아나항공,09:00,18:50,"경유 1, 17시간 50분",아시아나항공,20:40,21:00,"경유 1, 16시간 20분",성인/KB국민카드(이용실적 충족시),"1,385,600"
에티하드항공,17:30,06:45,"경유 1, 21시간 15분",에티하드항공,21:55,13:00,"경유 1, 31시간 05분",성인/KB국민카드(이용실적 충족시),"1,385,700"
아시아나항공,20:05,18:50,"경유 1, 30시간 45분",아시아나항공,20:40,10:45,"경유 1, 30시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,392,900"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/KB국민카드(이용실적 충족시),"1,404,600"
에티하드항공,17:30,12:45,"경유 1, 27시간 15분",에티하드항공,20:55,13:00,"경유 1, 32시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,422,200"
에티하드항공,17:30,06:45,"경유 1, 21시간 15분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/KB국민카드(이용실적 충족시),"1,430,800"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,446,600"
에티하드항공,17:30,12:45,"경유 1, 27시간 15분",에티하드항공,21:55,13:00,"경유 1, 31시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,449,100"
아시아나항공,01:30,18:50,"경유 1, 25시간 20분",아시아나항공,20:40,23:30,"경유 1, 18시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,457,300"
아시아나항공,09:00,18:50,"경유 1, 17시간 50분",아시아나항공,20:40,11:20,"경유 1, 30시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,457,900"
터키항공,10:35,09:50,"경유 1, 31시간 15분",터키항공,17:15,08:55,"경유 1, 31시간 40분",성인/KB국민카드(이용실적 충족시),"1,463,100"
아시아나항공,01:30,18:50,"경유 1, 25시간 20분",아시아나항공,20:40,10:45,"경유 1, 30시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,475,300"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,477,200"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",말레이시아항공,21:35,07:00,"경유 1, 25시간 25분",성인/모든 결제수단,"1,487,400"
에티하드항공,17:30,12:45,"경유 1, 27시간 15분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,495,100"
터키항공,10:35,20:50,"경유 1, 18시간 15분",터키항공,22:15,08:55,"경유 1, 26시간 40분",성인/KB국민카드(이용실적 충족시),"1,508,100"
에티하드항공,17:30,18:45,"경유 1, 33시간 15분",에티하드항공,20:55,13:00,"경유 1, 32시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,522,600"
베트남항공,09:30,17:05,"경유 1, 39시간 35분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,523,900"
아시아나항공,20:10,18:50,"경유 1, 30시간 40분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,526,800"
아시아나항공,09:00,18:50,"경유 1, 17시간 50분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,541,300"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,508,000"
에티하드항공,17:30,18:45,"경유 1, 33시간 15분",에티하드항공,21:55,13:00,"경유 1, 31시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,549,400"
터키항공,10:35,20:50,"경유 1, 18시간 15분",터키항공,18:30,08:55,"경유 1, 30시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,585,500"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",말레이시아항공,11:00,18:05,"경유 1, 23시간 05분",성인/모든 결제수단,"1,590,800"
에티하드항공,17:30,18:45,"경유 1, 33시간 15분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,595,500"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",에티하드항공,21:55,13:00,"경유 1, 31시간 05분",성인/모든 결제수단,"1,609,200"
에티하드항공,17:30,12:45,"경유 1, 27시간 15분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,611,600"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/모든 결제수단,"1,612,600"
선전항공,19:00,19:50,"경유 1, 32시간 50분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,615,200"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,618,400"
베트남항공,09:30,17:05,"경유 1, 39시간 35분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,621,900"
에티하드항공,17:30,06:45,"경유 1, 21시간 15분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,622,400"
터키항공,10:35,20:50,"경유 1, 18시간 15분",터키항공,13:20,08:55,"경유 1, 35시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,627,400"
에바항공,20:40,19:25,"경유 2, 30시간 45분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,638,100"
아시아나항공,09:00,18:50,"경유 1, 17시간 50분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,622,600"
에바항공,20:40,19:25,"경유 2, 30시간 45분",에바항공,21:35,12:25,"경유 2, 30시간 50분",성인/KB국민카드(이용실적 충족시),"1,640,000"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",베트남항공,17:00,08:00,"경유 1, 31시간 00분",성인/모든 결제수단,"1,640,300"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",이집트항공,15:00,18:10,"경유 1, 19시간 10분",성인/모든 결제수단,"1,656,000"
터키항공,10:35,16:50,"경유 1, 38시간 15분",터키항공,22:15,08:55,"경유 1, 26시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,669,200"
에바항공,14:25,19:25,"경유 2, 37시간 00분",에바항공,21:35,19:40,"경유 1, 38시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,698,000"
에바항공,12:40,19:25,"경유 2, 38시간 45분",에바항공,21:35,11:35,"경유 2, 30시간 00분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,699,500"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",베트남항공,17:00,08:00,"경유 1, 31시간 00분",성인/모든 결제수단,"1,640,400"
터키항공,10:35,15:05,"경유 1, 36시간 30분",터키항공,22:15,08:55,"경유 1, 26시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,711,100"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,716,400"
에티하드항공,17:30,06:45,"경유 1, 21시간 15분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,675,700"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",이집트항공,15:00,18:10,"경유 1, 19시간 10분",성인/모든 결제수단,"1,723,400"
에미레이트항공,22:30,12:55,"경유 1, 22시간 25분",에미레이트항공,21:10,17:35,"경유 1, 36시간 25분",성인/KB국민카드(이용실적 충족시),"1,726,700"
에미레이트항공,22:30,12:35,"경유 1, 22시간 05분",에미레이트항공,21:45,17:35,"경유 1, 35시간 50분",성인/KB국민카드(이용실적 충족시),"1,733,700"
에바항공,20:40,19:25,"경유 2, 30시간 45분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,714,600"
KLM네덜란드항공,11:20,07:40,"경유 1, 28시간 20분",KLM네덜란드항공,08:40,09:35,"경유 1, 16시간 55분",성인/모든 결제수단,"1,739,400"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",KLM네덜란드항공,18:35,09:35,"경유 1, 31시간 00분",성인/모든 결제수단,"1,739,900"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",캐세이퍼시픽항공,12:20,14:30,"경유 1, 18시간 10분",성인/모든 결제수단,"1,744,700"
싱가포르항공,11:10,05:55,"경유 1, 26시간 45분",싱가포르항공,11:25,17:30,"경유 1, 22시간 05분",성인/모든 결제수단,"1,746,300"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",에티오피아항공,21:00,20:05,"경유 2, 39시간 05분",성인/모든 결제수단,"1,746,600"
싱가포르항공,22:55,15:40,"경유 1, 24시간 45분",싱가포르항공,22:05,06:45,"경유 1, 24시간 40분",성인/모든 결제수단,"1,747,900"
베트남항공,09:30,17:05,"경유 1, 39시간 35분",에티하드항공,21:55,13:00,"경유 1, 31시간 05분",성인/모든 결제수단,"1,753,900"
베트남항공,09:30,17:05,"경유 1, 39시간 35분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/모든 결제수단,"1,757,300"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",캐세이퍼시픽항공,18:20,20:35,"경유 1, 18시간 15분",성인/모든 결제수단,"1,764,000"
에바항공,20:40,19:25,"경유 2, 30시간 45분",에바항공,21:35,13:25,"경유 2, 31시간 50분",성인/모든 결제수단,"1,765,800"
싱가포르항공,11:10,05:55,"경유 1, 26시간 45분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,767,200"
아시아나항공,09:00,18:50,"경유 1, 17시간 50분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/모든 결제수단,"1,739,500"
에미레이트항공,22:30,14:25,"경유 1, 23시간 55분",에미레이트항공,22:15,17:35,"경유 1, 35시간 20분",성인/KB국민카드(이용실적 충족시),"1,775,600"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",캐세이퍼시픽항공,22:15,06:45,"경유 1, 24시간 30분",성인/모든 결제수단,"1,778,500"
KLM네덜란드항공,11:20,19:40,"경유 1, 16시간 20분",KLM네덜란드항공,08:40,09:35,"경유 1, 16시간 55분",성인/모든 결제수단,"1,783,500"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",캐세이퍼시픽항공,17:00,06:45,"경유 1, 29시간 45분",성인/모든 결제수단,"1,787,800"
터키항공,10:35,09:50,"경유 1, 31시간 15분",중국동방항공,11:35,12:50,"경유 1, 17시간 15분",성인/모든 결제수단,"1,788,000"
일본항공,08:50,15:45,"직항, 14시간 55분",영국항공,09:10,07:00,"직항, 13시간 50분",성인/KB국민카드(이용실적 충족시),"1,794,900"
싱가포르항공,22:55,19:15,"경유 1, 28시간 20분",싱가포르항공,11:25,21:50,"경유 1, 26시간 25분",성인/모든 결제수단,"1,795,200"
타이항공,17:25,07:15,"경유 1, 21시간 50분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,797,800"
베트남항공,09:30,17:05,"경유 1, 39시간 35분",이집트항공,15:00,18:10,"경유 1, 19시간 10분",성인/모든 결제수단,"1,800,700"
아시아나항공,09:00,18:50,"경유 1, 17시간 50분",베트남항공,17:00,08:00,"경유 1, 31시간 00분",성인/모든 결제수단,"1,755,000"
아시아나항공,20:10,18:50,"경유 1, 30시간 40분",이집트항공,15:00,18:10,"경유 1, 19시간 10분",성인/모든 결제수단,"1,803,600"
KLM네덜란드항공,11:20,20:15,"경유 1, 16시간 55분",KLM네덜란드항공,10:00,09:35,"경유 1, 15시간 35분",성인/모든 결제수단,"1,805,800"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",KLM네덜란드항공,18:35,09:35,"경유 1, 31시간 00분",성인/모든 결제수단,"1,807,300"
터키항공,10:35,15:05,"경유 1, 36시간 30분",터키항공,13:20,08:55,"경유 1, 35시간 35분",성인/모든 결제수단,"1,808,000"
KLM네덜란드항공,11:20,19:30,"경유 1, 16시간 10분",KLM네덜란드항공,18:35,09:35,"경유 1, 31시간 00분",성인/KB국민카드(이용실적 충족시),"1,810,900"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",캐세이퍼시픽항공,12:20,14:30,"경유 1, 18시간 10분",성인/모든 결제수단,"1,763,400"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",에티오피아항공,21:00,20:05,"경유 2, 39시간 05분",성인/모든 결제수단,"1,790,000"
