out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
Ghodawat Enterprises,10:55,17:05,"경유 1, 11시간 10분",Ghodawat Enterprises,18:15,09:55,"경유 1, 10시간 40분",성인/모든 결제수단,"705,000"
아이슬란드항공,12:15,18:10,"경유 1, 10시간 55분",아이슬란드항공,19:25,10:55,"경유 1, 10시간 30분",성인/모든 결제수단,"843,600"
,12:35,15:50,"직항, 08시간 15분",,18:10,06:00,"직항, 06시간 50분",성인/모든 결제수단,"858,600"
아이슬란드항공,12:15,18:20,"경유 1, 11시간 05분",아이슬란드항공,19:30,10:55,"경유 1, 10시간 25분",성인/모든 결제수단,"894,700"
스칸디나비아항공사,21:05,13:35,"경유 1, 21시간 30분",스칸디나비아항공사,18:55,16:25,"경유 1, 16시간 30분",성인/모든 결제수단,"985,500"
,12:35,15:50,"직항, 08시간 15분",영국항공,20:10,08:05,"직항, 06시간 55분",성인/모든 결제수단,"1,025,800"
영국항공,15:00,18:15,"직항, 08시간 15분",영국항공,20:10,08:05,"직항, 06시간 55분",성인/모든 결제수단,"1,079,800"
아메리칸항공,15:00,18:15,"직항, 08시간 15분",아메리칸항공,20:10,08:05,"직항, 06시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,111,800"
오스트리아항공,08:00,11:25,"직항, 08시간 25분",오스트리아항공,08:30,20:35,"직항, 07시간 05분",성인/모든 결제수단,"1,127,562"
오스트리아항공,18:00,21:35,"직항, 08시간 35분",오스트리아항공,08:30,20:35,"직항, 07시간 05분",성인/모든 결제수단,"1,127,562"
아메리칸항공,15:00,18:15,"직항, 08시간 15분",영국항공,20:10,08:05,"직항, 06시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,131,600"
이베리아항공,15:00,18:15,"직항, 08시간 15분",아메리칸항공,20:10,08:05,"직항, 06시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,131,600"
TAP포르투갈,10:40,20:05,"경유 1, 14시간 25분",TAP포르투갈,22:00,15:45,"경유 1, 12시간 45분",성인/모든 결제수단,"1,132,500"
TAP포르투갈,08:15,15:35,"경유 1, 12시간 20분",TAP포르투갈,23:55,17:30,"경유 1, 12시간 35분",성인/모든 결제수단,"1,135,600"
에어링구스,10:00,16:29,"경유 1, 11시간 29분",에어링구스,18:35,09:15,"경유 1, 09시간 40분",성인/모든 결제수단,"1,136,300"
에어링구스,10:00,16:29,"경유 1, 11시간 29분",에어링구스,21:10,11:20,"경유 1, 09시간 10분",성인/모든 결제수단,"1,138,400"
아메리칸항공,15:35,18:15,"직항, 07시간 40분",아메리칸항공,08:05,19:50,"직항, 06시간 45분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,143,000"
유나이티드항공,10:00,13:35,"직항, 08시간 35분",브뤼셀항공,21:00,09:10,"직항, 07시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,143,000"
에어링구스,10:00,16:29,"경유 1, 11시간 29분",에어링구스,18:35,18:55,"경유 1, 19시간 20분",성인/모든 결제수단,"1,144,700"
에어유럽,10:00,17:50,"경유 1, 12시간 50분",에어유럽,22:05,16:25,"경유 1, 13시간 20분",성인/모든 결제수단,"1,154,700"
델타항공,10:00,15:50,"경유 1, 10시간 50분",델타항공,16:30,08:00,"경유 1, 10시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,159,200"
영국항공,18:00,21:15,"직항, 08시간 15분",영국항공,10:10,22:10,"직항, 07시간 00분",성인/모든 결제수단,"1,159,400"
영국항공,16:20,19:35,"직항, 08시간 15분",영국항공,10:10,22:10,"직항, 07시간 00분",성인/모든 결제수단,"1,159,400"
폴란드항공,06:30,20:35,"경유 1, 19시간 05분",폴란드항공,22:35,22:00,"경유 1, 18시간 25분",성인/모든 결제수단,"1,163,500"
핀에어,15:00,18:15,"직항, 08시간 15분",아메리칸항공,20:10,08:05,"직항, 06시간 55분",성인/모든 결제수단,"1,164,700"
알리탈리아항공,08:30,18:55,"경유 1, 15시간 25분",알리탈리아항공,17:50,11:00,"경유 1, 12시간 10분",성인/모든 결제수단,"1,164,900"
영국항공,09:35,12:45,"직항, 08시간 10분",영국항공,10:10,22:10,"직항, 07시간 00분",성인/모든 결제수단,"1,167,900"
루프트한자,08:00,11:25,"직항, 08시간 25분",루프트한자,08:30,20:35,"직항, 07시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,168,600"
유나이티드항공,08:00,11:25,"직항, 08시간 25분",유나이티드항공,18:00,06:20,"직항, 07시간 20분",성인/모든 결제수단,"1,172,900"
유나이티드항공,18:00,21:35,"직항, 08시간 35분",유나이티드항공,18:00,06:20,"직항, 07시간 20분",성인/모든 결제수단,"1,172,900"
델타항공,10:00,15:50,"경유 1, 10시간 50분",델타항공,16:20,07:05,"경유 1, 09시간 45분",성인/모든 결제수단,"1,173,500"
영국항공,12:55,16:10,"직항, 08시간 15분",영국항공,10:10,22:10,"직항, 07시간 00분",성인/모든 결제수단,"1,174,700"
델타항공,17:40,20:40,"직항, 08시간 00분",델타항공,16:20,07:05,"경유 1, 09시간 45분",성인/모든 결제수단,"1,176,200"
