out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
스위스항공,09:40,09:40,"경유 1, 19시간 00분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/모든 결제수단,"1,404,020"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/모든 결제수단,"1,428,000"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/모든 결제수단,"1,430,598"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/모든 결제수단,"1,451,070"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/모든 결제수단,"1,477,649"
스위스항공,15:05,09:40,"경유 1, 13시간 35분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/모든 결제수단,"1,483,988"
루프트한자,19:05,14:10,"경유 1, 14시간 05분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/모든 결제수단,"1,485,849"
루프트한자,10:50,14:10,"경유 1, 22시간 20분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/모든 결제수단,"1,491,665"
스위스항공,20:15,09:40,"경유 1, 32시간 25분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/모든 결제수단,"1,505,200"
스위스항공,20:15,09:40,"경유 1, 32시간 25분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/모든 결제수단,"1,512,000"
루프트한자,12:55,14:10,"경유 1, 20시간 15분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,514,700"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,516,800"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,517,600"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",오스트리아항공,23:40,20:40,"경유 1, 26시간 00분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,520,300"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,523,100"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",오스트리아항공,23:40,20:40,"경유 1, 26시간 00분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,523,800"
스위스항공,06:15,09:40,"경유 1, 22시간 25분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/모든 결제수단,"1,524,567"
스위스항공,15:05,09:40,"경유 1, 13시간 35분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/모든 결제수단,"1,531,038"
스위스항공,06:15,09:40,"경유 1, 22시간 25분",오스트리아항공,23:40,20:40,"경유 1, 26시간 00분",성인/모든 결제수단,"1,531,963"
루프트한자,19:05,14:10,"경유 1, 14시간 05분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/모든 결제수단,"1,532,899"
루프트한자,10:50,14:10,"경유 1, 22시간 20분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/모든 결제수단,"1,538,715"
루프트한자,19:05,14:50,"경유 2, 14시간 45분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,540,800"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",루프트한자,23:40,11:55,"경유 2, 17시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,543,800"
루프트한자,19:05,14:50,"경유 2, 14시간 45분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,546,400"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",루프트한자,23:40,11:55,"경유 2, 17시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,546,600"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",루프트한자,23:40,11:55,"경유 2, 17시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,547,200"
루프트한자,19:05,14:50,"경유 2, 14시간 45분",루프트한자,23:40,11:55,"경유 2, 17시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,569,900"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",루프트한자,23:00,10:00,"경유 1, 16시간 00분",성인/모든 결제수단,"1,574,308"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/모든 결제수단,"1,580,200"
스위스항공,20:15,09:40,"경유 1, 32시간 25분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/모든 결제수단,"1,585,300"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",스위스항공,12:45,14:15,"경유 1, 30시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,589,800"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",스위스항공,12:45,14:15,"경유 1, 30시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,591,900"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",스위스항공,12:45,14:15,"경유 1, 30시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,592,600"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",루프트한자,23:00,10:00,"경유 1, 16시간 00분",성인/모든 결제수단,"1,600,887"
루프트한자,19:05,14:10,"경유 1, 14시간 05분",스위스항공,12:45,14:15,"경유 1, 30시간 30분",성인/모든 결제수단,"1,602,700"
루프트한자,19:05,14:10,"경유 1, 14시간 05분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,603,500"
스위스항공,15:05,09:40,"경유 1, 13시간 35분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,605,500"
루프트한자,08:05,14:10,"경유 1, 25시간 05분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,609,100"
스위스항공,06:15,09:40,"경유 1, 22시간 25분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,612,500"
루프트한자,19:05,14:50,"경유 2, 14시간 45분",스위스항공,12:45,23:10,"경유 1, 15시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,615,900"
스위스항공,15:05,09:40,"경유 1, 13시간 35분",루프트한자,23:00,11:55,"경유 1, 17시간 55분",성인/모든 결제수단,"1,617,927"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",루프트한자,23:40,10:00,"경유 2, 15시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,618,800"
루프트한자,19:05,14:10,"경유 1, 14시간 05분",루프트한자,23:00,11:55,"경유 1, 17시간 55분",성인/모든 결제수단,"1,619,788"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",루프트한자,23:40,10:00,"경유 2, 15시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,621,700"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",루프트한자,23:40,10:00,"경유 2, 15시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,622,300"
루프트한자,15:30,14:50,"경유 2, 18시간 20분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,629,600"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",루프트한자,23:40,13:50,"경유 2, 19시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,630,200"
루프트한자,19:05,14:10,"경유 1, 14시간 05분",루프트한자,23:40,11:55,"경유 2, 17시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,632,500"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",루프트한자,23:40,13:50,"경유 2, 19시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,633,100"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",루프트한자,23:40,13:50,"경유 2, 19시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,633,700"
루프트한자,15:30,14:50,"경유 2, 18시간 20분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,635,200"
스위스항공,15:05,09:40,"경유 1, 13시간 35분",루프트한자,23:40,11:55,"경유 2, 17시간 15분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,636,000"
루프트한자,14:50,14:50,"경유 2, 19시간 00분",스위스항공,12:45,08:50,"경유 1, 25시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,641,000"
핀에어,18:55,05:25,"경유 1, 29시간 30분",핀에어,12:30,09:45,"경유 2, 26시간 15분",성인/모든 결제수단,"1,642,500"
루프트한자,19:05,14:50,"경유 2, 14시간 45분",루프트한자,23:40,10:00,"경유 2, 15시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,644,900"
루프트한자,14:50,14:50,"경유 2, 19시간 00분",오스트리아항공,23:40,08:10,"경유 1, 13시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,646,600"
스위스항공,15:05,09:40,"경유 1, 13시간 35분",루프트한자,23:00,10:00,"경유 1, 16시간 00분",성인/모든 결제수단,"1,654,276"
루프트한자,19:05,14:10,"경유 1, 14시간 05분",루프트한자,23:00,10:00,"경유 1, 16시간 00분",성인/모든 결제수단,"1,656,137"
루프트한자,19:05,14:50,"경유 2, 14시간 45분",루프트한자,23:40,13:50,"경유 2, 19시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,656,300"
핀에어,18:55,05:25,"경유 1, 29시간 30분",핀에어,11:00,09:45,"경유 2, 27시간 45분",성인/모든 결제수단,"1,669,600"
루프트한자,15:30,14:10,"경유 1, 17시간 40분",스위스항공,12:45,19:25,"경유 1, 35시간 40분",성인/모든 결제수단,"1,670,200"
스위스항공,09:40,09:40,"경유 1, 19시간 00분",스위스항공,12:45,19:25,"경유 1, 35시간 40분",성인/모든 결제수단,"1,672,700"
오스트리아항공,08:55,14:50,"경유 1, 24시간 55분",스위스항공,12:45,19:25,"경유 1, 35시간 40분",성인/모든 결제수단,"1,673,200"
