out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",중국남방항공,21:30,19:40,"경유 1, 20시간 10분",성인/모든 결제수단,"569,000"
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",중국동방항공,10:55,08:00,"경유 1, 19시간 05분",성인/모든 결제수단,"613,100"
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",중국동방항공,19:45,12:35,"경유 1, 14시간 50분",성인/모든 결제수단,"623,100"
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",샤먼항공,16:15,09:20,"경유 1, 15시간 05분",성인/모든 결제수단,"635,100"
샤먼항공,11:25,00:05,"경유 1, 14시간 40분",중국남방항공,21:30,19:40,"경유 1, 20시간 10분",성인/모든 결제수단,"641,500"
샤먼항공,11:25,00:05,"경유 1, 14시간 40분",샤먼항공,16:15,09:20,"경유 1, 15시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"648,200"
쓰촨항공,20:20,14:15,"경유 1, 19시간 55분",쓰촨항공,17:30,14:15,"경유 1, 18시간 45분",성인/모든 결제수단,"673,700"
샤먼항공,11:25,00:05,"경유 1, 14시간 40분",중국동방항공,10:55,08:00,"경유 1, 19시간 05분",성인/모든 결제수단,"685,600"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",캐세이퍼시픽항공,16:50,08:45,"경유 1, 13시간 55분",성인/KB국민카드(이용실적 충족시),"710,200"
샤먼항공,11:25,00:05,"경유 1, 14시간 40분",샤먼항공,21:25,09:20,"경유 1, 33시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"713,200"
쓰촨항공,20:20,14:15,"경유 1, 19시간 55분",쓰촨항공,15:30,14:15,"경유 1, 20시간 45분",성인/모든 결제수단,"724,400"
캐세이퍼시픽항공,14:05,10:50,"경유 1, 22시간 45분",캐세이퍼시픽항공,16:50,08:45,"경유 1, 13시간 55분",성인/KB국민카드(이용실적 충족시),"729,300"
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",중국동방항공,13:55,09:00,"경유 1, 17시간 05분",성인/모든 결제수단,"737,500"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",캐세이퍼시픽항공,13:40,08:45,"경유 1, 17시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"740,900"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",캐세이퍼시픽항공,18:40,20:10,"경유 1, 23시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"761,600"
캐세이퍼시픽항공,10:05,15:30,"경유 1, 31시간 25분",캐세이퍼시픽항공,16:50,08:45,"경유 1, 13시간 55분",성인/모든 결제수단,"780,900"
캐세이퍼시픽항공,14:05,10:50,"경유 1, 22시간 45분",캐세이퍼시픽항공,18:40,20:10,"경유 1, 23시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"782,300"
캐세이퍼시픽항공,07:35,12:25,"경유 1, 30시간 50분",캐세이퍼시픽항공,12:05,20:10,"경유 1, 30시간 05분",성인/모든 결제수단,"799,700"
캐세이퍼시픽항공,10:05,15:30,"경유 1, 31시간 25분",캐세이퍼시픽항공,18:40,20:10,"경유 1, 23시간 30분",성인/모든 결제수단,"801,600"
캐세이퍼시픽항공,21:50,12:25,"경유 1, 16시간 35분",캐세이퍼시픽항공,16:50,08:45,"경유 1, 13시간 55분",성인/모든 결제수단,"869,000"
캐세이퍼시픽항공,21:50,10:50,"경유 1, 15시간 00분",캐세이퍼시픽항공,16:50,08:45,"경유 1, 13시간 55분",성인/모든 결제수단,"874,000"
캐세이퍼시픽항공,21:50,10:50,"경유 1, 15시간 00분",캐세이퍼시픽항공,12:05,08:45,"경유 1, 18시간 40분",성인/모든 결제수단,"879,000"
쓰촨항공,20:20,14:15,"경유 1, 19시간 55분",중국동방항공,17:00,12:35,"경유 1, 17시간 35분",성인/모든 결제수단,"894,400"
캐세이퍼시픽항공,21:50,10:50,"경유 1, 15시간 00분",캐세이퍼시픽항공,18:40,20:10,"경유 1, 23시간 30분",성인/모든 결제수단,"899,700"
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",중국남방항공,15:30,08:25,"경유 1, 14시간 55분",성인/모든 결제수단,"908,400"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",캐세이퍼시픽항공,15:30,08:45,"경유 1, 15시간 15분",성인/모든 결제수단,"913,000"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",쓰촨항공,15:30,14:15,"경유 1, 20시간 45분",성인/모든 결제수단,"914,400"
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",말레이시아항공,10:00,10:00,"경유 1, 22시간 00분",성인/모든 결제수단,"924,700"
중국동방항공,11:00,23:50,"경유 1, 14시간 50분",중국동방항공,19:30,12:35,"경유 1, 15시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"935,900"
캐세이퍼시픽항공,14:05,10:50,"경유 1, 22시간 45분",캐세이퍼시픽항공,15:30,08:45,"경유 1, 15시간 15분",성인/모든 결제수단,"938,700"
쓰촨항공,20:20,14:15,"경유 1, 19시간 55분",중국국제항공,01:10,14:50,"직항, 11시간 40분",성인/모든 결제수단,"946,300"
캐세이퍼시픽항공,10:05,14:15,"경유 1, 30시간 10분",캐세이퍼시픽항공,15:00,08:45,"경유 1, 15시간 45분",성인/KB국민카드(이용실적 충족시),"947,900"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",캐세이퍼시픽항공,18:30,10:50,"경유 1, 14시간 20분",성인/모든 결제수단,"948,200"
중국남방항공,10:05,00:55,"경유 1, 16시간 50분",중국남방항공,21:30,19:40,"경유 1, 20시간 10분",성인/모든 결제수단,"956,900"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",캐세이퍼시픽항공,13:00,10:50,"경유 1, 19시간 50분",성인/모든 결제수단,"958,200"
캐세이퍼시픽항공,10:05,14:15,"경유 1, 30시간 10분",캐세이퍼시픽항공,15:00,20:10,"경유 1, 27시간 10분",성인/KB국민카드(이용실적 충족시),"966,900"
캐세이퍼시픽항공,14:05,10:50,"경유 1, 22시간 45분",캐세이퍼시픽항공,18:30,10:50,"경유 1, 14시간 20분",성인/모든 결제수단,"973,900"
캐세이퍼시픽항공,14:05,14:15,"경유 1, 26시간 10분",캐세이퍼시픽항공,15:00,08:45,"경유 1, 15시간 45분",성인/KB국민카드(이용실적 충족시),"980,300"
샤먼항공,11:25,00:05,"경유 1, 14시간 40분",중국남방항공,15:30,08:25,"경유 1, 14시간 55분",성인/모든 결제수단,"980,900"
"젯스타 에어웨이즈, 중국남방항공",19:35,22:05,"경유 2, 28시간 30분","젯스타 에어웨이즈, 중국남방항공",21:30,19:40,"경유 1, 20시간 10분",성인/모든 결제수단,"985,000"
샤먼항공,11:25,00:05,"경유 1, 14시간 40분",말레이시아항공,10:00,10:00,"경유 1, 22시간 00분",성인/모든 결제수단,"997,200"
캐세이퍼시픽항공,07:35,20:25,"경유 1, 14시간 50분",중국동방항공,17:00,12:35,"경유 1, 17시간 35분",성인/모든 결제수단,"997,900"
캐세이퍼시픽항공,14:05,14:15,"경유 1, 26시간 10분",캐세이퍼시픽항공,15:00,20:10,"경유 1, 27시간 10분",성인/KB국민카드(이용실적 충족시),"999,300"
중국동방항공,11:00,23:50,"경유 1, 14시간 50분",중국동방항공,14:30,12:35,"경유 1, 20시간 05분",성인/모든 결제수단,"1,002,100"
중국동방항공,12:00,16:40,"경유 1, 30시간 40분",캐세이퍼시픽항공,15:00,08:45,"경유 1, 15시간 45분",성인/모든 결제수단,"1,005,500"
중화항공,22:10,18:50,"경유 1, 22시간 40분",쓰촨항공,15:30,14:15,"경유 1, 20시간 45분",성인/모든 결제수단,"1,006,400"
캐세이퍼시픽항공,14:05,14:15,"경유 1, 26시간 10분",캐세이퍼시픽항공,15:00,10:50,"경유 1, 17시간 50분",성인/KB국민카드(이용실적 충족시),"1,012,600"
