out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
유나이티드항공,06:15,16:45,"경유 1, 19시간 30분",유나이티드항공,11:15,12:51,"경유 1, 16시간 36분",성인/KB국민카드(이용실적 충족시),"1,652,200"
유나이티드항공,06:15,16:45,"경유 1, 19시간 30분",유나이티드항공,11:15,18:17,"경유 1, 22시간 02분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,707,000"
"델타항공, ANA",11:25,12:30,"경유 1, 34시간 05분","델타항공, ANA",12:20,13:50,"경유 1, 16시간 30분",성인/KB국민카드(이용실적 충족시),"1,730,100"
"델타항공, ANA",11:25,12:30,"경유 1, 34시간 05분","아시아나항공, 델타항공",13:05,13:50,"경유 1, 15시간 45분",성인/KB국민카드(이용실적 충족시),"1,731,200"
"델타항공, ANA",11:25,12:30,"경유 1, 34시간 05분","델타항공, ANA",14:15,21:52,"경유 2, 22시간 37분",성인/KB국민카드(이용실적 충족시),"1,737,000"
"델타항공, ANA",11:25,12:30,"경유 1, 34시간 05분",대한항공,14:15,20:25,"경유 2, 21시간 10분",성인/KB국민카드(이용실적 충족시),"1,739,400"
유나이티드항공,16:25,16:45,"경유 1, 33시간 20분",유나이티드항공,11:15,12:51,"경유 1, 16시간 36분",성인/KB국민카드(이용실적 충족시),"1,745,300"
유나이티드항공,06:15,16:45,"경유 1, 19시간 30분",유나이티드항공,11:15,21:29,"경유 1, 25시간 14분",성인/모든 결제수단,"1,773,300"
유나이티드항공,06:15,16:45,"경유 1, 19시간 30분",유나이티드항공,22:30,21:29,"경유 1, 37시간 59분",성인/모든 결제수단,"1,779,100"
유나이티드항공,06:15,16:45,"경유 1, 19시간 30분",유나이티드항공,22:30,12:51,"경유 1, 29시간 21분",성인/모든 결제수단,"1,784,100"
델타항공,13:00,22:30,"경유 1, 18시간 30분",델타항공,12:20,13:50,"경유 1, 16시간 30분",성인/KB국민카드(이용실적 충족시),"1,853,600"
"델타항공, 아시아나항공",13:00,22:30,"경유 1, 18시간 30분","델타항공, 아시아나항공",13:05,13:50,"경유 1, 15시간 45분",성인/KB국민카드(이용실적 충족시),"1,854,900"
