out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"315,200"
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",KLM네덜란드항공,10:20,12:50,"직항, 02시간 30분",성인/모든 결제수단,"328,300"
KLM네덜란드항공,07:15,09:30,"직항, 02시간 15분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"344,300"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"349,620"
알리탈리아항공,07:10,12:10,"경유 1, 05시간 00분",알리탈리아항공,08:30,11:00,"직항, 02시간 30분",성인/모든 결제수단,"350,600"
KLM네덜란드항공,16:35,18:45,"직항, 02시간 10분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"356,000"
KLM네덜란드항공,07:15,09:30,"직항, 02시간 15분",KLM네덜란드항공,10:20,12:50,"직항, 02시간 30분",성인/모든 결제수단,"357,400"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"362,967"
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/모든 결제수단,"363,200"
알리탈리아항공,11:55,14:10,"직항, 02시간 15분",알리탈리아항공,08:30,11:00,"직항, 02시간 30분",성인/모든 결제수단,"366,000"
KLM네덜란드항공,09:40,11:50,"직항, 02시간 10분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"369,100"
KLM네덜란드항공,16:35,18:45,"직항, 02시간 10분",KLM네덜란드항공,10:20,12:50,"직항, 02시간 30분",성인/모든 결제수단,"369,100"
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",KLM네덜란드항공,12:40,15:10,"직항, 02시간 30분",성인/모든 결제수단,"376,300"
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",KLM네덜란드항공,06:30,08:50,"직항, 02시간 20분",성인/모든 결제수단,"376,300"
KLM네덜란드항공,20:40,22:45,"직항, 02시간 05분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/모든 결제수단,"379,800"
KLM네덜란드항공,09:40,11:50,"직항, 02시간 10분",KLM네덜란드항공,10:20,12:50,"직항, 02시간 30분",성인/모든 결제수단,"382,200"
알리탈리아항공,17:55,20:10,"직항, 02시간 15분",알리탈리아항공,08:30,11:00,"직항, 02시간 30분",성인/모든 결제수단,"387,800"
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",KLM네덜란드항공,10:20,12:50,"직항, 02시간 30분",성인/모든 결제수단,"389,500"
KLM네덜란드항공,07:15,09:30,"직항, 02시간 15분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/모든 결제수단,"392,400"
알리탈리아항공,07:10,12:10,"경유 1, 05시간 00분",알리탈리아항공,14:35,17:05,"직항, 02시간 30분",성인/모든 결제수단,"394,300"
KLM네덜란드항공,16:35,18:45,"직항, 02시간 10분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/모든 결제수단,"404,000"
KLM네덜란드항공,07:15,09:30,"직항, 02시간 15분",KLM네덜란드항공,17:25,20:00,"직항, 02시간 35분",성인/모든 결제수단,"405,500"
KLM네덜란드항공,07:15,09:30,"직항, 02시간 15분",KLM네덜란드항공,12:40,15:10,"직항, 02시간 30분",성인/모든 결제수단,"405,500"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"406,862"
KLM네덜란드항공,07:15,09:30,"직항, 02시간 15분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/모든 결제수단,"409,000"
알리탈리아항공,11:55,14:10,"직항, 02시간 15분",알리탈리아항공,14:35,17:05,"직항, 02시간 30분",성인/모든 결제수단,"409,700"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",루프트한자,12:55,20:25,"경유 1, 07시간 30분",성인/모든 결제수단,"413,594"
KLM네덜란드항공,09:40,11:50,"직항, 02시간 10분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/모든 결제수단,"415,700"
KLM네덜란드항공,16:35,18:45,"직항, 02시간 10분",KLM네덜란드항공,17:25,20:00,"직항, 02시간 35분",성인/모든 결제수단,"417,100"
KLM네덜란드항공,16:35,18:45,"직항, 02시간 10분",KLM네덜란드항공,12:40,15:10,"직항, 02시간 30분",성인/모든 결제수단,"417,100"
루프트한자,19:30,23:35,"경유 1, 04시간 05분",스위스항공,15:05,19:15,"경유 1, 04시간 10분",성인/모든 결제수단,"419,134"
KLM네덜란드항공,16:35,18:45,"직항, 02시간 10분",에어프랑스,06:00,10:40,"경유 1, 04시간 40분",성인/모든 결제수단,"420,600"
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",KLM네덜란드항공,19:40,22:00,"직항, 02시간 20분",성인/모든 결제수단,"422,900"
KLM네덜란드항공,09:40,11:50,"직항, 02시간 10분",KLM네덜란드항공,17:25,20:00,"직항, 02시간 35분",성인/모든 결제수단,"428,800"
KLM네덜란드항공,09:40,11:50,"직항, 02시간 10분",KLM네덜란드항공,12:40,15:10,"직항, 02시간 30분",성인/모든 결제수단,"428,800"
알리탈리아항공,07:10,12:10,"경유 1, 05시간 00분",알리탈리아항공,07:00,11:00,"경유 1, 04시간 00분",성인/모든 결제수단,"429,100"
알리탈리아항공,17:55,20:10,"직항, 02시간 15분",알리탈리아항공,14:35,17:05,"직항, 02시간 30분",성인/모든 결제수단,"431,500"
알리탈리아항공,11:50,16:10,"경유 1, 04시간 20분",알리탈리아항공,08:30,11:00,"직항, 02시간 30분",성인/모든 결제수단,"432,200"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",스위스항공,20:15,22:15,"경유 1, 26시간 00분",성인/모든 결제수단,"435,100"
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",KLM네덜란드항공,17:25,20:00,"직항, 02시간 35분",성인/모든 결제수단,"436,000"
KLM네덜란드항공,14:30,16:35,"직항, 02시간 05분",KLM네덜란드항공,12:40,15:10,"직항, 02시간 30분",성인/모든 결제수단,"436,000"
알리탈리아항공,11:55,14:10,"직항, 02시간 15분",알리탈리아항공,07:00,11:00,"경유 1, 04시간 00분",성인/모든 결제수단,"444,500"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",스위스항공,06:15,18:30,"경유 1, 12시간 15분",성인/모든 결제수단,"446,600"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",루프트한자,10:50,15:00,"경유 1, 04시간 10분",성인/모든 결제수단,"448,600"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",오스트리아항공,08:55,22:15,"경유 1, 13시간 20분",성인/모든 결제수단,"449,400"
스위스항공,07:00,23:10,"경유 1, 16시간 10분",루프트한자,19:05,08:10,"경유 1, 13시간 05분",성인/모든 결제수단,"461,300"
알리탈리아항공,17:55,20:10,"직항, 02시간 15분",알리탈리아항공,07:00,11:00,"경유 1, 04시간 00분",성인/모든 결제수단,"466,400"
루프트한자,15:40,21:00,"경유 1, 05시간 20분",루프트한자,12:55,20:25,"경유 1, 07시간 30분",성인/모든 결제수단,"469,383"
스위스항공,07:00,14:15,"경유 1, 07시간 15분",스위스항공,06:15,18:30,"경유 1, 12시간 15분",성인/모든 결제수단,"470,000"
