out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
영국항공,20:25,19:55,"경유 1, 30시간 30분",아메리칸항공,18:30,17:50,"경유 2, 15시간 20분",성인/KB국민카드(이용실적 충족시),"736,800"
영국항공,08:30,19:55,"경유 1, 18시간 25분",영국항공,16:44,17:50,"경유 2, 17시간 06분",성인/모든 결제수단,"746,600"
영국항공,20:25,19:55,"경유 1, 30시간 30분",영국항공,18:10,17:50,"경유 1, 15시간 40분",성인/모든 결제수단,"763,200"
"영국항공, 아메리칸항공",08:30,16:10,"경유 1, 14시간 40분","영국항공, 아메리칸항공",18:10,17:50,"경유 1, 15시간 40분",성인/모든 결제수단,"776,900"
"영국항공, 이베리아항공",20:25,19:55,"경유 1, 30시간 30분","영국항공, 이베리아항공",13:08,17:50,"경유 2, 20시간 42분",성인/KB국민카드(이용실적 충족시),"782,100"
영국항공,20:25,19:55,"경유 1, 30시간 30분",영국항공,16:44,17:50,"경유 2, 17시간 06분",성인/모든 결제수단,"793,800"
"영국항공, 이베리아항공",20:25,23:03,"경유 2, 33시간 38분","영국항공, 이베리아항공",18:10,17:50,"경유 1, 15시간 40분",성인/모든 결제수단,"801,100"
"영국항공, 아메리칸항공",08:30,16:10,"경유 1, 14시간 40분","영국항공, 아메리칸항공",18:10,17:50,"경유 1, 15시간 40분",성인/모든 결제수단,"804,700"
영국항공,08:30,19:55,"경유 1, 18시간 25분",영국항공,18:10,17:50,"경유 1, 15시간 40분",성인/모든 결제수단,"823,400"
"영국항공, 아메리칸항공",08:30,16:10,"경유 1, 14시간 40분","영국항공, 아메리칸항공",18:10,17:50,"경유 1, 15시간 40분",성인/모든 결제수단,"826,500"
"영국항공, 이베리아항공",20:25,23:03,"경유 2, 33시간 38분","영국항공, 이베리아항공",16:44,17:50,"경유 2, 17시간 06분",성인/모든 결제수단,"832,900"
영국항공,20:25,16:10,"경유 1, 26시간 45분",아메리칸항공,16:24,17:50,"경유 2, 17시간 26분",성인/현대 M2/M3 Edition2(이용실적 충족시),"859,900"
영국항공,17:40,16:10,"경유 1, 29시간 30분",영국항공,16:44,17:50,"경유 2, 17시간 06분",성인/모든 결제수단,"861,300"
영국항공,20:25,16:10,"경유 1, 26시간 45분",아메리칸항공,16:44,17:50,"경유 2, 17시간 06분",성인/현대 M2/M3 Edition2(이용실적 충족시),"861,900"
"터키항공, 에어캐나다",14:05,20:45,"경유 1, 13시간 40분","터키항공, 에어캐나다",22:30,19:50,"경유 2, 37시간 20분",성인/모든 결제수단,"862,700"
영국항공,20:25,16:10,"경유 1, 26시간 45분",영국항공,16:44,17:50,"경유 2, 17시간 06분",성인/현대 M2/M3 Edition2(이용실적 충족시),"882,600"
영국항공,20:25,16:10,"경유 1, 26시간 45분",아메리칸항공,18:30,17:50,"경유 2, 15시간 20분",성인/모든 결제수단,"887,800"
영국항공,08:30,19:55,"경유 1, 18시간 25분",영국항공,22:05,00:05,"경유 1, 18시간 00분",성인/모든 결제수단,"890,800"
영국항공,20:25,16:10,"경유 1, 26시간 45분",아메리칸항공,13:45,17:50,"경유 2, 20시간 05분",성인/모든 결제수단,"891,300"
에어프랑스,06:45,15:45,"경유 1, 16시간 00분",KLM네덜란드항공,14:30,16:55,"경유 2, 18시간 25분",성인/모든 결제수단,"898,800"
"영국항공, 핀에어, 아메리칸항공",20:25,16:10,"경유 1, 26시간 45분","영국항공, 핀에어, 아메리칸항공",13:08,17:50,"경유 2, 20시간 42분",성인/KB국민카드(이용실적 충족시),"904,700"
"터키항공, 에어캐나다",14:05,20:45,"경유 1, 13시간 40분","터키항공, 에어캐나다",18:20,17:15,"경유 1, 14시간 55분",성인/모든 결제수단,"909,000"
"영국항공, 이베리아항공",20:25,16:10,"경유 1, 26시간 45분","영국항공, 이베리아항공",13:08,17:50,"경유 2, 20시간 42분",성인/모든 결제수단,"910,800"
영국항공,20:25,16:10,"경유 1, 26시간 45분",영국항공,13:45,17:50,"경유 2, 20시간 05분",성인/모든 결제수단,"914,300"
"터키항공, 에어캐나다",14:05,20:45,"경유 1, 13시간 40분","터키항공, 에어캐나다",23:10,23:05,"경유 1, 15시간 55분",성인/모든 결제수단,"922,200"
"터키항공, 에어캐나다",07:20,14:55,"경유 1, 14시간 35분","터키항공, 에어캐나다",18:20,17:15,"경유 1, 14시간 55분",성인/모든 결제수단,"924,100"
영국항공,08:30,16:10,"경유 1, 14시간 40분",영국항공,18:10,17:50,"경유 1, 15시간 40분",성인/모든 결제수단,"924,200"
"터키항공, 에어캐나다",13:10,20:45,"경유 1, 14시간 35분","터키항공, 에어캐나다",18:20,18:15,"경유 1, 15시간 55분",성인/모든 결제수단,"925,500"
