out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
에어캐나다,18:00,07:53,"경유 1, 26시간 53분",에어캐나다,20:35,17:00,"경유 2, 30시간 25분",성인/KB국민카드(이용실적 충족시),"1,016,400"
에어캐나다,18:00,16:56,"경유 1, 35시간 56분",에어캐나다,20:35,17:00,"경유 2, 30시간 25분",성인/롯데 Trip to 로카 카드,"1,065,900"
에어캐나다,18:00,07:53,"경유 1, 26시간 53분",에어캐나다,15:35,18:25,"경유 1, 36시간 50분",성인/KB국민카드,"1,113,200"
에어캐나다,18:00,07:53,"경유 1, 26시간 53분",에어캐나다,20:35,17:00,"경유 2, 30시간 25분",성인/KB국민카드(이용실적 충족시),"1,138,300"
에어캐나다,18:00,14:53,"경유 1, 33시간 53분",에어캐나다,20:35,17:00,"경유 2, 30시간 25분",성인/롯데 Trip to 로카 카드,"1,190,700"
에어캐나다,18:00,09:59,"경유 1, 28시간 59분",에어캐나다,18:00,17:00,"경유 1, 33시간 00분",성인/삼성카드,"1,196,300"
에어캐나다,18:00,16:39,"경유 1, 35시간 39분",에어캐나다,18:00,17:00,"경유 1, 33시간 00분",성인/Mile1 하나카드,"1,199,600"
에어캐나다,18:00,09:59,"경유 1, 28시간 59분",에어캐나다,21:30,17:00,"경유 2, 29시간 30분",성인/삼성카드,"1,204,300"
에어캐나다,18:00,19:19,"경유 1, 38시간 19분",에어캐나다,18:00,17:00,"경유 1, 33시간 00분",성인/KB국민카드,"1,204,400"
에어캐나다,18:00,07:53,"경유 1, 26시간 53분",에어캐나다,20:35,18:25,"경유 1, 31시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,222,100"
에어캐나다,18:00,07:53,"경유 1, 26시간 53분",에어캐나다,18:40,18:25,"경유 1, 33시간 45분",성인/Mile1 하나카드,"1,236,900"
에어캐나다,18:00,09:59,"경유 1, 28시간 59분",에어캐나다,16:00,18:25,"경유 1, 36시간 25분",성인/KB국민카드,"1,241,700"
에어캐나다,18:00,14:59,"경유 1, 33시간 59분",에어캐나다,14:00,18:25,"경유 1, 38시간 25분",성인/모든 결제수단,"1,273,700"
에어캐나다,18:00,09:59,"경유 1, 28시간 59분",에어캐나다,21:30,17:00,"경유 2, 29시간 30분",성인/삼성카드,"1,314,100"
에어캐나다,18:00,14:53,"경유 1, 33시간 53분",에어캐나다,20:35,17:00,"경유 2, 30시간 25분",성인/롯데 Trip to 로카 카드,"1,315,400"
에어캐나다,18:00,14:53,"경유 1, 33시간 53분",에어캐나다,20:35,18:25,"경유 1, 31시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,348,800"
에어캐나다,18:00,14:53,"경유 1, 33시간 53분",에어캐나다,18:40,18:25,"경유 1, 33시간 45분",성인/Mile1 하나카드,"1,363,900"
"아시아나항공, 유나이티드항공",09:00,17:00,"경유 1, 21시간 00분","아시아나항공, 유나이티드항공",06:00,16:15,"경유 1, 20시간 15분",성인/KB국민카드(이용실적 충족시),"1,370,500"
에어캐나다,18:00,07:53,"경유 1, 26시간 53분",에어캐나다,20:35,17:00,"경유 2, 30시간 25분",성인/KB국민카드(이용실적 충족시),"1,391,200"
