out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
마카오항공,14:15,20:30,"경유 1, 08시간 15분",베트남항공,22:05,16:35,"경유 1, 16시간 30분",성인/KB국민카드(이용실적 충족시),"360,400"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",베트남항공,19:50,16:35,"경유 1, 18시간 45분",성인/롯데카드,"364,800"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,22:05,16:35,"경유 1, 16시간 30분",성인/KB국민카드(이용실적 충족시),"373,100"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",베트남항공,19:45,16:35,"경유 1, 18시간 50분",성인/삼성 iD NOMAD 카드,"373,300"
비엣젯항공,06:15,08:55,"직항, 04시간 40분","에어아시아, 에어아시아엑스",11:20,06:30,"경유 1, 17시간 10분",성인/모든 결제수단,"376,141"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"380,400"
제주항공,21:55,00:30,"직항, 04시간 35분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/삼성 iD NOMAD 카드,"380,600"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"384,400"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,22:05,16:35,"경유 1, 16시간 30분",성인/KB국민카드(이용실적 충족시),"390,500"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,19:50,16:35,"경유 1, 18시간 45분",성인/KB국민카드,"391,900"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/KB국민카드(이용실적 충족시),"392,200"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/KB국민카드(이용실적 충족시),"395,900"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,18:25,16:35,"경유 1, 20시간 10분",성인/삼성 iD NOMAD 카드,"396,000"
베트남항공,18:05,07:05,"경유 1, 15시간 00분",베트남항공,22:05,16:35,"경유 1, 16시간 30분",성인/롯데카드,"399,000"
에어서울,20:45,23:30,"직항, 04시간 45분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"399,100"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,00:50,16:35,"경유 1, 13시간 45분",성인/현대 M2/M3 Edition2(이용실적 충족시),"405,900"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,19:50,16:35,"경유 1, 18시간 45분",성인/KB국민카드,"407,200"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/KB국민카드(이용실적 충족시),"409,700"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,17:35,06:40,"경유 1, 11시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"409,900"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,18:25,16:35,"경유 1, 20시간 10분",성인/삼성 iD NOMAD 카드,"411,800"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,22:05,16:35,"경유 1, 16시간 30분",성인/KB국민카드(이용실적 충족시),"412,800"
베트남항공,18:05,07:00,"경유 1, 14시간 55분",베트남항공,00:50,16:35,"경유 1, 13시간 45분",성인/롯데카드,"412,900"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",베트남항공,19:50,05:50,"경유 1, 08시간 00분",성인/현대 M2/M3 Edition2(이용실적 충족시),"413,200"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/KB국민카드(이용실적 충족시),"413,300"
베트남항공,18:05,07:00,"경유 1, 14시간 55분",베트남항공,17:35,06:40,"경유 1, 11시간 05분",성인/KB국민카드,"416,500"
베트남항공,18:05,07:00,"경유 1, 14시간 55분",베트남항공,13:55,06:40,"경유 1, 14시간 45분",성인/롯데카드,"416,900"
베트남항공,18:05,07:05,"경유 1, 15시간 00분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/롯데카드,"420,300"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"421,400"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,00:50,16:35,"경유 1, 13시간 45분",성인/현대 M2/M3 Edition2(이용실적 충족시),"423,800"
베트남항공,18:05,07:05,"경유 1, 15시간 00분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/롯데카드,"424,300"
베트남항공,18:05,07:00,"경유 1, 14시간 55분",베트남항공,12:40,06:40,"경유 1, 16시간 00분",성인/삼성 iD NOMAD 카드,"426,900"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,17:35,06:40,"경유 1, 11시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"427,800"
제주항공,10:40,13:20,"직항, 04시간 40분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/삼성 iD NOMAD 카드,"428,350"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,22:05,16:35,"경유 1, 16시간 30분",성인/KB국민카드(이용실적 충족시),"428,400"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"429,000"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,19:50,16:35,"경유 1, 18시간 45분",성인/롯데카드,"431,100"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/KB국민카드(이용실적 충족시),"431,900"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,22:15,16:35,"경유 2, 16시간 20분",성인/롯데카드,"432,100"
진에어,20:25,23:05,"직항, 04시간 40분",진에어,01:25,08:00,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"432,600"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/KB국민카드(이용실적 충족시),"435,600"
티웨이항공,19:50,22:40,"직항, 04시간 50분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/롯데카드,"436,000"
티웨이항공,21:35,00:25,"직항, 04시간 50분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/롯데카드,"436,000"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,19:50,05:50,"경유 1, 08시간 00분",성인/현대 M2/M3 Edition2(이용실적 충족시),"437,300"
제주항공,21:55,00:30,"직항, 04시간 35분",제주항공,14:20,20:50,"직항, 04시간 30분",성인/KB국민카드(이용실적 충족시),"438,900"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,19:50,05:50,"경유 1, 08시간 00분",성인/현대 M2/M3 Edition2(이용실적 충족시),"441,700"
진에어,20:25,23:05,"직항, 04시간 40분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/롯데카드,"441,900"
베트남항공,10:05,16:50,"경유 1, 08시간 45분",베트남항공,22:05,16:35,"경유 1, 16시간 30분",성인/롯데카드,"446,300"
베트남항공,11:20,14:05,"직항, 04시간 45분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"446,400"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/KB국민카드(이용실적 충족시),"447,600"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,00:50,16:35,"경유 1, 13시간 45분",성인/현대 M2/M3 Edition2(이용실적 충족시),"448,100"
베트남항공,18:05,07:00,"경유 1, 14시간 55분",베트남항공,19:50,05:50,"경유 1, 08시간 00분",성인/삼성 iD NOMAD 카드,"449,300"
제주항공,21:55,00:30,"직항, 04시간 35분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"450,367"
제주항공,21:55,00:30,"직항, 04시간 35분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/모든 결제수단,"450,367"
아시아나항공,18:50,21:35,"직항, 04시간 45분",아시아나항공,23:05,05:55,"직항, 04시간 50분",성인/KB국민카드(이용실적 충족시),"450,600"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/KB국민카드(이용실적 충족시),"451,300"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,18:25,16:35,"경유 1, 20시간 10분",성인/삼성 iD NOMAD 카드,"451,500"
진에어,20:25,23:05,"직항, 04시간 40분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"452,523"
진에어,20:25,23:05,"직항, 04시간 40분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/모든 결제수단,"452,523"
베트남항공,10:15,22:45,"경유 1, 14시간 30분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/삼성카드,"452,700"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"453,112"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/모든 결제수단,"453,112"
베트남항공,10:15,17:35,"경유 1, 09시간 20분",베트남항공,00:50,16:35,"경유 1, 13시간 45분",성인/롯데카드,"455,500"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,17:35,06:40,"경유 1, 11시간 05분",성인/삼성카드,"456,700"
베트남항공,17:55,08:20,"경유 1, 16시간 25분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/롯데카드,"458,900"
베트남항공,17:55,08:20,"경유 1, 16시간 25분",베트남항공,13:55,06:40,"경유 1, 14시간 45분",성인/롯데카드,"459,500"
티웨이항공,19:50,22:40,"직항, 04시간 50분",티웨이항공,11:25,18:05,"직항, 04시간 40분",성인/롯데카드,"461,000"
티웨이항공,21:35,00:25,"직항, 04시간 50분",티웨이항공,11:25,18:05,"직항, 04시간 40분",성인/롯데카드,"461,000"
베트남항공,17:55,09:30,"경유 1, 17시간 35분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/BC바로카드,"461,400"
대한항공,10:55,13:40,"직항, 04시간 45분",대한항공,22:50,05:30,"직항, 04시간 40분",성인/KB국민카드(이용실적 충족시),"464,100"
대한항공,18:20,21:05,"직항, 04시간 45분",대한항공,22:50,05:30,"직항, 04시간 40분",성인/KB국민카드(이용실적 충족시),"464,100"
비엣젯항공,06:15,08:55,"직항, 04시간 40분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"466,698"
비엣젯항공,07:00,09:40,"직항, 04시간 40분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"466,698"
베트남항공,10:05,16:50,"경유 1, 08시간 45분",베트남항공,06:05,16:35,"경유 1, 08시간 30분",성인/삼성카드,"467,700"
티웨이항공,07:40,10:25,"직항, 04시간 45분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/롯데카드,"468,300"
티웨이항공,07:40,10:25,"직항, 04시간 45분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/롯데카드,"468,300"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"468,700"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,19:50,05:50,"경유 1, 08시간 00분",성인/삼성카드,"470,000"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,00:50,16:35,"경유 1, 13시간 45분",성인/롯데카드,"470,900"
티웨이항공,19:50,22:40,"직항, 04시간 50분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/롯데카드,"471,000"
티웨이항공,21:35,00:25,"직항, 04시간 50분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/롯데카드,"471,000"
베트남항공,10:05,16:50,"경유 1, 08시간 45분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/롯데카드,"474,300"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/모든 결제수단,"474,484"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,13:55,06:40,"경유 1, 14시간 45분",성인/롯데카드,"474,900"
베트남항공,10:05,17:40,"경유 1, 09시간 35분",베트남항공,00:50,16:35,"경유 1, 13시간 45분",성인/삼성 iD NOMAD 카드,"475,900"
베트남항공,10:15,22:45,"경유 1, 14시간 30분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/롯데카드,"478,600"
제주항공,21:55,00:30,"직항, 04시간 35분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"479,168"
베트남항공,10:15,16:45,"경유 1, 08시간 30분",베트남항공,11:20,06:40,"경유 1, 17시간 20분",성인/모든 결제수단,"481,800"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"481,913"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"484,400"
비엣젯항공,06:15,08:55,"직항, 04시간 40분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/모든 결제수단,"488,070"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,19:50,05:50,"경유 1, 08시간 00분",성인/KB국민카드,"488,300"
제주항공,21:55,00:30,"직항, 04시간 35분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/모든 결제수단,"490,200"
제주항공,21:55,00:30,"직항, 04시간 35분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/삼성카드,"491,490"
제주항공,10:40,13:20,"직항, 04시간 40분",제주항공,14:20,20:50,"직항, 04시간 30분",성인/삼성 iD NOMAD 카드,"491,550"
진에어,20:25,23:05,"직항, 04시간 40분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/모든 결제수단,"492,300"
진에어,20:25,23:05,"직항, 04시간 40분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/삼성카드,"492,890"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",비엣젯항공,16:50,06:15,"경유 1, 11시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"493,000"
티웨이항공,07:40,10:25,"직항, 04시간 45분",티웨이항공,11:25,18:05,"직항, 04시간 40분",성인/롯데카드,"493,300"
베트남항공,10:05,16:25,"경유 1, 08시간 20분",베트남항공,19:30,05:50,"경유 1, 08시간 20분",성인/삼성 iD NOMAD 카드,"493,600"
베트남항공,10:05,16:50,"경유 1, 08시간 45분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/롯데카드,"493,900"
비엣젯항공,06:15,08:55,"직항, 04시간 40분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"495,499"
제주항공,21:55,00:30,"직항, 04시간 35분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"495,600"
에어서울,20:45,23:30,"직항, 04시간 45분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/KB국민카드,"496,300"
대한항공,20:25,23:05,"직항, 04시간 40분",대한항공,22:50,05:30,"직항, 04시간 40분",성인/KB국민카드(이용실적 충족시),"496,300"
에어서울,20:45,23:30,"직항, 04시간 45분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/롯데카드,"503,100"
에어서울,20:45,23:30,"직항, 04시간 45분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/롯데카드,"503,100"
티웨이항공,07:40,10:25,"직항, 04시간 45분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/롯데카드,"503,400"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",대한항공,01:25,08:00,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"503,800"
티웨이항공,19:50,22:40,"직항, 04시간 50분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"510,400"
티웨이항공,21:35,00:25,"직항, 04시간 50분",비엣젯항공,22:45,05:00,"직항, 04시간 15분",성인/모든 결제수단,"510,400"
진에어,20:25,23:05,"직항, 04시간 40분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"513,300"
비엣젯항공,06:15,08:55,"직항, 04시간 40분",비엣젯항공,22:45,05:00,"직항, 04시간 15분",성인/롯데 Trip to 로카 카드,"513,700"
비엣젯항공,07:00,09:40,"직항, 04시간 40분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/롯데 Trip to 로카 카드,"513,700"
제주항공,21:55,00:30,"직항, 04시간 35분",티웨이항공,11:25,18:05,"직항, 04시간 40분",성인/KB국민카드(이용실적 충족시),"514,400"
티웨이항공,21:35,00:25,"직항, 04시간 50분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"515,056"
진에어,20:25,23:05,"직항, 04시간 40분",티웨이항공,11:25,18:05,"직항, 04시간 40분",성인/삼성카드,"517,290"
티웨이항공,19:50,22:40,"직항, 04시간 50분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"517,300"
티웨이항공,21:35,00:25,"직항, 04시간 50분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"517,300"
티웨이항공,19:50,22:40,"직항, 04시간 50분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/삼성카드,"517,400"
티웨이항공,21:35,00:25,"직항, 04시간 50분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/삼성카드,"517,400"
대한항공,10:55,13:40,"직항, 04시간 45분",대한항공,15:40,22:15,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"519,300"
대한항공,18:20,21:05,"직항, 04시간 45분",대한항공,15:40,22:15,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"519,300"
제주항공,10:40,13:20,"직항, 04시간 40분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"519,786"
이스타항공,20:30,23:45,"직항, 05시간 15분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"522,100"
이스타항공,20:30,23:45,"직항, 05시간 15분",비엣젯항공,22:45,05:00,"직항, 04시간 15분",성인/모든 결제수단,"522,100"
베트남항공,18:05,23:59,"경유 1, 07시간 54분",베트남항공,22:15,16:35,"경유 2, 16시간 20분",성인/롯데카드,"525,000"
제주항공,21:55,00:30,"직항, 04시간 35분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"527,000"
에어서울,20:45,23:30,"직항, 04시간 45분",티웨이항공,11:25,18:05,"직항, 04시간 40분",성인/롯데카드,"527,400"
이스타항공,20:30,23:45,"직항, 05시간 15분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/KB국민카드(이용실적 충족시),"532,200"
진에어,20:25,23:05,"직항, 04시간 40분",제주항공,14:20,20:50,"직항, 04시간 30분",성인/롯데카드,"534,900"
이스타항공,20:30,23:45,"직항, 05시간 15분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"535,700"
이스타항공,20:30,23:45,"직항, 05시간 15분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/KB국민카드,"537,000"
진에어,20:25,23:05,"직항, 04시간 40분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"538,900"
제주항공,10:40,13:20,"직항, 04시간 40분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/삼성카드,"539,340"
제주항공,10:40,13:20,"직항, 04시간 40분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/삼성카드,"539,340"
이스타항공,20:30,23:45,"직항, 05시간 15분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/삼성카드,"539,800"
에어서울,20:45,23:30,"직항, 04시간 45분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드,"541,000"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/삼성카드,"542,600"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/삼성카드,"542,600"
이스타항공,20:30,23:45,"직항, 05시간 15분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/모든 결제수단,"543,800"
티웨이항공,19:50,22:40,"직항, 04시간 50분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"545,100"
제주항공,10:40,13:20,"직항, 04시간 40분",비엣젯항공,22:45,05:00,"직항, 04시간 15분",성인/하나카드,"545,500"
제주항공,10:40,13:20,"직항, 04시간 40분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/하나카드,"545,500"
비엣젯항공,22:45,01:25,"직항, 04시간 40분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/삼성카드,"546,600"
제주항공,10:40,13:20,"직항, 04시간 40분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"548,100"
티웨이항공,19:50,22:40,"직항, 04시간 50분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"548,700"
티웨이항공,21:35,00:25,"직항, 04시간 50분",베트남항공,00:05,06:40,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"548,700"
마카오항공,14:15,20:30,"경유 1, 08시간 15분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/모든 결제수단,"549,100"
티웨이항공,07:40,10:25,"직항, 04시간 45분",비엣젯항공,15:30,21:45,"직항, 04시간 15분",성인/삼성카드,"551,200"
티웨이항공,07:40,10:25,"직항, 04시간 45분",비엣젯항공,23:45,06:00,"직항, 04시간 15분",성인/삼성카드,"551,200"
대한항공,20:25,23:05,"직항, 04시간 40분",대한항공,15:40,22:15,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"551,500"
에어서울,20:45,23:30,"직항, 04시간 45분",제주항공,14:20,20:50,"직항, 04시간 30분",성인/롯데카드,"551,700"
에어서울,20:45,23:30,"직항, 04시간 45분",제주항공,01:30,08:05,"직항, 04시간 35분",성인/롯데카드,"551,700"
티웨이항공,07:40,10:25,"직항, 04시간 45분",에어서울,00:30,07:05,"직항, 04시간 35분",성인/KB국민카드(이용실적 충족시),"552,300"
비엣젯항공,06:15,08:55,"직항, 04시간 40분",티웨이항공,01:50,08:35,"직항, 04시간 45분",성인/삼성카드,"554,600"
비엣젯항공,07:00,09:40,"직항, 04시간 40분",티웨이항공,23:40,06:35,"직항, 04시간 55분",성인/삼성카드,"554,600"
이스타항공,20:30,23:45,"직항, 05시간 15분",베트남항공,06:05,16:25,"경유 1, 08시간 20분",성인/모든 결제수단,"556,800"
티웨이항공,19:50,22:40,"직항, 04시간 50분",제주항공,14:20,20:50,"직항, 04시간 30분",성인/KB국민카드(이용실적 충족시),"558,500"
