out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
아시아나항공,09:00,11:20,"직항, 02시간 20분",아시아나항공,19:25,22:05,"직항, 02시간 40분",성인/현대 M2/M3 Edition2(이용실적 충족시),"409,000"
에어서울,07:50,10:30,"직항, 02시간 40분",에어서울,13:40,16:10,"직항, 02시간 30분",성인/KB국민카드(이용실적 충족시),"410,200"
진에어,07:25,10:00,"직항, 02시간 35분",진에어,10:20,13:00,"직항, 02시간 40분",성인/KB국민카드(이용실적 충족시),"417,000"
에어서울,07:50,10:30,"직항, 02시간 40분",에어서울,20:40,23:10,"직항, 02시간 30분",성인/KB국민카드(이용실적 충족시),"419,400"
에어서울,07:50,10:30,"직항, 02시간 40분",에어서울,11:30,14:10,"직항, 02시간 40분",성인/KB국민카드(이용실적 충족시),"419,400"
에어프레미아,08:50,11:20,"직항, 02시간 30분",진에어,10:20,13:00,"직항, 02시간 40분",성인/KB국민카드(이용실적 충족시),"419,700"
에어프레미아,08:50,11:20,"직항, 02시간 30분",에어서울,13:40,16:10,"직항, 02시간 30분",성인/신한카드,"422,300"
에어프레미아,08:50,11:20,"직항, 02시간 30분",에어프레미아,12:30,15:10,"직항, 02시간 40분",성인/KB국민카드(이용실적 충족시),"422,400"
아시아나항공,09:00,11:20,"직항, 02시간 20분",아시아나항공,16:00,18:35,"직항, 02시간 35분",성인/삼성카드,"422,800"
에어프레미아,08:50,11:20,"직항, 02시간 30분",티웨이항공,18:30,21:10,"직항, 02시간 40분",성인/Mile1 하나카드,"424,310"
에어프레미아,08:50,11:20,"직항, 02시간 30분",티웨이항공,15:00,17:50,"직항, 02시간 50분",성인/Mile1 하나카드,"424,310"
티웨이항공,07:45,10:15,"직항, 02시간 30분",티웨이항공,18:30,21:10,"직항, 02시간 40분",성인/삼성카드,"424,900"
티웨이항공,07:45,10:15,"직항, 02시간 30분",티웨이항공,15:00,17:50,"직항, 02시간 50분",성인/삼성카드,"424,900"
에어서울,07:50,10:30,"직항, 02시간 40분",진에어,10:20,13:00,"직항, 02시간 40분",성인/롯데카드,"425,000"
에어프레미아,08:50,11:20,"직항, 02시간 30분",제주항공,19:25,22:00,"직항, 02시간 35분",성인/Mile1 하나카드,"429,220"
에어프레미아,08:50,11:20,"직항, 02시간 30분",제주항공,13:55,16:35,"직항, 02시간 40분",성인/Mile1 하나카드,"429,220"
에어프레미아,08:50,11:20,"직항, 02시간 30분",에어서울,20:40,23:10,"직항, 02시간 30분",성인/신한카드,"431,200"
에어프레미아,08:50,11:20,"직항, 02시간 30분",에어서울,11:30,14:10,"직항, 02시간 40분",성인/신한카드,"431,200"
아시아나항공,09:00,11:20,"직항, 02시간 20분",아시아나항공,13:20,15:50,"직항, 02시간 30분",성인/삼성카드,"431,800"
아시아나항공,09:00,11:20,"직항, 02시간 20분",아시아나항공,09:00,11:30,"직항, 02시간 30분",성인/삼성카드,"431,800"
에어서울,07:50,10:30,"직항, 02시간 40분",티웨이항공,18:30,21:10,"직항, 02시간 40분",성인/롯데카드,"432,100"
에어서울,07:50,10:30,"직항, 02시간 40분",티웨이항공,15:00,17:50,"직항, 02시간 50분",성인/롯데카드,"432,100"
에어서울,07:50,10:30,"직항, 02시간 40분",제주항공,19:25,22:00,"직항, 02시간 35분",성인/롯데카드,"434,000"
에어부산,07:35,10:05,"직항, 02시간 30분",진에어,10:20,13:00,"직항, 02시간 40분",성인/롯데카드,"437,400"
에어부산,07:35,10:05,"직항, 02시간 30분",에어서울,13:40,16:10,"직항, 02시간 30분",성인/롯데카드,"437,400"
이스타항공,08:00,10:30,"직항, 02시간 30분",진에어,10:20,13:00,"직항, 02시간 40분",성인/KB국민카드(이용실적 충족시),"437,600"
