out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
티웨이항공,15:40,17:30,"직항, 01시간 50분",에어부산,16:00,18:10,"직항, 02시간 10분",성인/삼성 iD NOMAD 카드,"227,100"
진에어,16:05,18:00,"직항, 01시간 55분",에어부산,16:00,18:10,"직항, 02시간 10분",성인/삼성 iD NOMAD 카드,"227,900"
티웨이항공,15:40,17:30,"직항, 01시간 50분",티웨이항공,15:25,17:20,"직항, 01시간 55분",성인/KB국민카드,"228,400"
티웨이항공,15:40,17:30,"직항, 01시간 50분",에어부산,12:50,14:50,"직항, 02시간 00분",성인/삼성 iD NOMAD 카드,"236,000"
진에어,16:05,18:00,"직항, 01시간 55분",에어부산,12:50,14:50,"직항, 02시간 00분",성인/삼성 iD NOMAD 카드,"236,800"
에어부산,15:55,17:45,"직항, 01시간 50분",에어부산,16:00,18:10,"직항, 02시간 10분",성인/모든 결제수단,"237,400"
진에어,16:05,18:00,"직항, 01시간 55분",진에어,13:10,15:00,"직항, 01시간 50분",성인/삼성 iD NOMAD 카드,"240,800"
진에어,16:05,18:00,"직항, 01시간 55분",진에어,10:40,12:35,"직항, 01시간 55분",성인/삼성 iD NOMAD 카드,"240,800"
티웨이항공,15:40,17:30,"직항, 01시간 50분",티웨이항공,18:30,20:20,"직항, 01시간 50분",성인/KB국민카드,"245,000"
티웨이항공,15:40,17:30,"직항, 01시간 50분",티웨이항공,11:20,13:15,"직항, 01시간 55분",성인/KB국민카드,"245,000"
에어서울,16:00,18:00,"직항, 02시간 00분",에어서울,19:00,21:00,"직항, 02시간 00분",성인/KB국민카드(이용실적 충족시),"247,100"
에어부산,15:55,17:45,"직항, 01시간 50분",에어부산,12:50,14:50,"직항, 02시간 00분",성인/모든 결제수단,"247,400"
진에어,16:05,18:00,"직항, 01시간 55분",진에어,17:30,19:20,"직항, 01시간 50분",성인/삼성 iD NOMAD 카드,"249,300"
이스타항공,15:15,17:00,"직항, 01시간 45분",이스타항공,11:10,13:00,"직항, 01시간 50분",성인/삼성카드,"250,000"
진에어,16:05,18:00,"직항, 01시간 55분",티웨이항공,15:25,17:20,"직항, 01시간 55분",성인/삼성 iD NOMAD 카드,"252,550"
에어서울,16:00,18:00,"직항, 02시간 00분",티웨이항공,15:25,17:20,"직항, 01시간 55분",성인/롯데카드,"253,300"
이스타항공,15:15,17:00,"직항, 01시간 45분",티웨이항공,15:25,17:20,"직항, 01시간 55분",성인/삼성카드,"257,200"
에어부산,12:40,15:00,"직항, 02시간 20분",에어부산,16:00,18:10,"직항, 02시간 10분",성인/모든 결제수단,"257,400"
진에어,16:05,18:00,"직항, 01시간 55분",진에어,16:15,18:05,"직항, 01시간 50분",성인/삼성 iD NOMAD 카드,"257,900"
티웨이항공,15:40,17:30,"직항, 01시간 50분",이스타항공,11:10,13:00,"직항, 01시간 50분",성인/모든 결제수단,"260,200"
에어서울,16:00,18:00,"직항, 02시간 00분",이스타항공,11:10,13:00,"직항, 01시간 50분",성인/롯데카드,"261,300"
에어부산,15:55,17:45,"직항, 01시간 50분",티웨이항공,15:25,17:20,"직항, 01시간 55분",성인/롯데카드,"262,300"
진에어,16:05,18:00,"직항, 01시간 55분",이스타항공,11:10,13:00,"직항, 01시간 50분",성인/모든 결제수단,"263,600"
에어서울,16:00,18:00,"직항, 02시간 00분",에어서울,09:55,11:55,"직항, 02시간 00분",성인/KB국민카드(이용실적 충족시),"265,500"
티웨이항공,15:40,17:30,"직항, 01시간 50분",에어서울,19:00,21:00,"직항, 02시간 00분",성인/삼성카드,"266,000"
에어부산,12:40,15:00,"직항, 02시간 20분",에어부산,12:50,14:50,"직항, 02시간 00분",성인/모든 결제수단,"267,400"
진에어,16:05,18:00,"직항, 01시간 55분",티웨이항공,18:30,20:20,"직항, 01시간 50분",성인/삼성 iD NOMAD 카드,"268,570"
진에어,16:05,18:00,"직항, 01시간 55분",티웨이항공,11:20,13:15,"직항, 01시간 55분",성인/삼성 iD NOMAD 카드,"268,570"
티웨이항공,15:40,17:30,"직항, 01시간 50분",진에어,13:10,15:00,"직항, 01시간 50분",성인/롯데카드,"268,700"
티웨이항공,15:40,17:30,"직항, 01시간 50분",진에어,10:40,12:35,"직항, 01시간 55분",성인/롯데카드,"268,700"
진에어,14:40,16:30,"직항, 01시간 50분",에어부산,16:00,18:10,"직항, 02시간 10분",성인/삼성 iD NOMAD 카드,"268,900"
진에어,16:05,18:00,"직항, 01시간 55분",에어서울,19:00,21:00,"직항, 02시간 00분",성인/신한카드,"269,600"
에어서울,16:00,18:00,"직항, 02시간 00분",티웨이항공,18:30,20:20,"직항, 01시간 50분",성인/롯데카드,"270,200"
에어서울,16:00,18:00,"직항, 02시간 00분",티웨이항공,11:20,13:15,"직항, 01시간 55분",성인/롯데카드,"270,200"
에어부산,15:55,17:45,"직항, 01시간 50분",이스타항공,11:10,13:00,"직항, 01시간 50분",성인/롯데카드,"270,300"
에어부산,15:55,17:45,"직항, 01시간 50분",에어서울,19:00,21:00,"직항, 02시간 00분",성인/롯데카드,"271,200"
티웨이항공,15:40,17:30,"직항, 01시간 50분",제주항공,11:50,13:50,"직항, 02시간 00분",성인/롯데카드,"271,360"
티웨이항공,15:40,17:30,"직항, 01시간 50분",제주항공,16:20,18:20,"직항, 02시간 00분",성인/롯데카드,"271,360"
진에어,16:05,18:00,"직항, 01시간 55분",제주항공,11:50,13:50,"직항, 02시간 00분",성인/삼성 iD NOMAD 카드,"272,860"
진에어,16:05,18:00,"직항, 01시간 55분",제주항공,16:20,18:20,"직항, 02시간 00분",성인/삼성 iD NOMAD 카드,"272,860"
에어서울,16:00,18:00,"직항, 02시간 00분",제주항공,11:50,13:50,"직항, 02시간 00분",성인/롯데카드,"273,500"
에어서울,16:00,18:00,"직항, 02시간 00분",제주항공,16:20,18:20,"직항, 02시간 00분",성인/롯데카드,"273,500"
이스타항공,15:15,17:00,"직항, 01시간 45분",티웨이항공,18:30,20:20,"직항, 01시간 50분",성인/삼성카드,"274,100"
이스타항공,15:15,17:00,"직항, 01시간 45분",티웨이항공,11:20,13:15,"직항, 01시간 55분",성인/삼성카드,"274,100"
에어서울,16:00,18:00,"직항, 02시간 00분",진에어,13:10,15:00,"직항, 01시간 50분",성인/롯데카드,"274,600"
에어서울,16:00,18:00,"직항, 02시간 00분",진에어,10:40,12:35,"직항, 01시간 55분",성인/롯데카드,"274,600"
에어서울,16:00,18:00,"직항, 02시간 00분",에어서울,16:15,18:25,"직항, 02시간 10분",성인/KB국민카드(이용실적 충족시),"274,700"
에어서울,13:15,15:15,"직항, 02시간 00분",에어서울,19:00,21:00,"직항, 02시간 00분",성인/KB국민카드(이용실적 충족시),"274,700"
진에어,14:40,16:30,"직항, 01시간 50분",진에어,13:10,15:00,"직항, 01시간 50분",성인/삼성 iD NOMAD 카드,"275,000"
이스타항공,15:15,17:00,"직항, 01시간 45분",에어서울,19:00,21:00,"직항, 02시간 00분",성인/신한카드,"275,000"
이스타항공,15:15,17:00,"직항, 01시간 45분",제주항공,11:50,13:50,"직항, 02시간 00분",성인/삼성카드,"277,400"
이스타항공,15:15,17:00,"직항, 01시간 45분",제주항공,16:20,18:20,"직항, 02시간 00분",성인/삼성카드,"277,400"
진에어,14:40,16:30,"직항, 01시간 50분",에어부산,12:50,14:50,"직항, 02시간 00분",성인/삼성 iD NOMAD 카드,"277,800"
이스타항공,15:15,17:00,"직항, 01시간 45분",진에어,13:10,15:00,"직항, 01시간 50분",성인/삼성카드,"278,500"
이스타항공,15:15,17:00,"직항, 01시간 45분",진에어,10:40,12:35,"직항, 01시간 55분",성인/삼성카드,"278,500"
에어부산,15:55,17:45,"직항, 01시간 50분",티웨이항공,18:30,20:20,"직항, 01시간 50분",성인/롯데카드,"279,200"
에어부산,15:55,17:45,"직항, 01시간 50분",티웨이항공,11:20,13:15,"직항, 01시간 55분",성인/롯데카드,"279,200"
티웨이항공,15:40,17:30,"직항, 01시간 50분",에어부산,18:45,20:55,"직항, 02시간 10분",성인/삼성 iD NOMAD 카드,"280,600"
진에어,16:05,18:00,"직항, 01시간 55분",에어부산,18:45,20:55,"직항, 02시간 10분",성인/삼성 iD NOMAD 카드,"281,400"
에어서울,13:15,15:15,"직항, 02시간 00분",티웨이항공,15:25,17:20,"직항, 01시간 55분",성인/롯데카드,"281,800"
티웨이항공,15:40,17:30,"직항, 01시간 50분",에어서울,09:55,11:55,"직항, 02시간 00분",성인/삼성 iD NOMAD 카드,"282,100"
에어부산,15:55,17:45,"직항, 01시간 50분",제주항공,11:50,13:50,"직항, 02시간 00분",성인/롯데카드,"282,500"
에어부산,15:55,17:45,"직항, 01시간 50분",제주항공,16:20,18:20,"직항, 02시간 00분",성인/롯데카드,"282,500"
티웨이항공,15:40,17:30,"직항, 01시간 50분",진에어,17:30,19:20,"직항, 01시간 50분",성인/롯데카드,"282,800"
진에어,14:40,16:30,"직항, 01시간 50분",진에어,17:30,19:20,"직항, 01시간 50분",성인/삼성 iD NOMAD 카드,"283,500"
에어부산,15:55,17:45,"직항, 01시간 50분",진에어,13:10,15:00,"직항, 01시간 50분",성인/롯데카드,"283,600"
