out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
베트남항공,17:55,06:45,"경유 1, 19시간 50분",베트남항공,14:00,16:35,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"902,100"
베트남항공,18:05,07:00,"경유 1, 19시간 55분",베트남항공,14:00,16:35,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"943,000"
베트남항공,17:55,06:45,"경유 1, 19시간 50분",베트남항공,13:50,16:25,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"958,000"
베트남항공,10:05,07:00,"경유 1, 27시간 55분",베트남항공,14:00,16:35,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"997,200"
베트남항공,18:05,07:00,"경유 1, 19시간 55분",베트남항공,13:50,16:25,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"1,013,500"
베트남항공,17:55,06:45,"경유 1, 19시간 50분",베트남항공,13:50,06:40,"경유 1, 33시간 50분",성인/KB국민카드(이용실적 충족시),"1,023,400"
베트남항공,18:05,07:00,"경유 1, 19시간 55분",베트남항공,13:50,06:40,"경유 1, 33시간 50분",성인/KB국민카드(이용실적 충족시),"1,078,800"
베트남항공,10:05,07:00,"경유 1, 27시간 55분",베트남항공,13:50,16:25,"경유 1, 19시간 35분",성인/KB국민카드(이용실적 충족시),"1,083,100"
핀에어,21:40,09:40,"경유 1, 19시간 00분",핀에어,18:55,11:20,"경유 1, 33시간 25분",성인/KB국민카드(이용실적 충족시),"1,083,700"
중국동방항공,18:25,06:30,"경유 1, 19시간 05분",중국동방항공,13:25,11:55,"경유 1, 15시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,091,800"
핀에어,21:40,09:40,"경유 1, 19시간 00분",핀에어,10:50,11:20,"경유 1, 17시간 30분",성인/KB국민카드(이용실적 충족시),"1,126,000"
베트남항공,10:05,07:00,"경유 1, 27시간 55분",베트남항공,13:50,06:40,"경유 1, 33시간 50분",성인/KB국민카드(이용실적 충족시),"1,148,500"
에미레이트항공,23:05,13:30,"경유 1, 21시간 25분",에미레이트항공,21:55,17:00,"경유 1, 36시간 05분",성인/삼성카드,"1,155,900"
스위스항공,09:55,22:55,"경유 1, 20시간 00분",루프트한자,11:30,09:55,"경유 1, 15시간 25분",성인/모든 결제수단,"1,195,000"
에미레이트항공,23:55,13:30,"경유 1, 20시간 35분",에미레이트항공,21:55,17:00,"경유 1, 36시간 05분",성인/삼성카드,"1,219,600"
에티하드항공,18:00,07:45,"경유 1, 20시간 45분",에티하드항공,10:20,22:40,"경유 1, 29시간 20분",성인/KB국민카드(이용실적 충족시),"1,223,100"
"상하이항공, 중국동방항공",18:25,06:30,"경유 1, 19시간 05분","상하이항공, 중국동방항공",13:25,11:55,"경유 1, 15시간 30분",성인/모든 결제수단,"1,238,200"
스위스항공,09:55,19:25,"경유 1, 16시간 30분",루프트한자,11:30,09:55,"경유 1, 15시간 25분",성인/모든 결제수단,"1,255,000"
에티하드항공,00:55,07:45,"경유 1, 37시간 50분",에티하드항공,10:20,22:40,"경유 1, 29시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,264,800"
스위스항공,09:55,22:55,"경유 1, 20시간 00분",루프트한자,18:00,09:55,"경유 1, 32시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,283,800"
에어프랑스,10:50,18:00,"직항, 14시간 10분",KLM네덜란드항공,14:30,16:25,"경유 1, 18시간 55분",성인/모든 결제수단,"1,285,300"
아시아나항공,10:45,18:05,"직항, 14시간 20분",아시아나항공,20:05,15:05,"직항, 12시간 00분",성인/KB국민카드(이용실적 충족시),"1,289,600"
에어프랑스,10:50,18:00,"직항, 14시간 10분",KLM네덜란드항공,13:25,16:25,"경유 1, 20시간 00분",성인/모든 결제수단,"1,295,000"
스위스항공,09:55,22:55,"경유 1, 20시간 00분",루프트한자,14:30,09:55,"경유 1, 36시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,304,400"
스위스항공,09:55,08:55,"경유 1, 30시간 00분",루프트한자,07:30,09:55,"경유 1, 19시간 25분",성인/삼성카드,"1,307,600"
KLM네덜란드항공,23:05,18:10,"경유 1, 26시간 05분",KLM네덜란드항공,14:30,16:25,"경유 1, 18시간 55분",성인/모든 결제수단,"1,308,582"
캐세이퍼시픽항공,20:15,07:35,"경유 1, 18시간 20분",캐세이퍼시픽항공,12:05,12:35,"경유 1, 17시간 30분",학생/KB국민카드(이용실적 충족시),"1,318,100"
KLM네덜란드항공,23:05,18:10,"경유 1, 26시간 05분",KLM네덜란드항공,13:25,16:25,"경유 1, 20시간 00분",성인/모든 결제수단,"1,319,102"
스위스항공,09:55,14:15,"경유 1, 35시간 20분",루프트한자,07:30,09:55,"경유 1, 19시간 25분",성인/모든 결제수단,"1,329,700"
스위스항공,09:55,08:55,"경유 1, 30시간 00분",루프트한자,14:30,09:55,"경유 1, 36시간 25분",성인/삼성카드,"1,329,800"
스위스항공,09:55,08:55,"경유 1, 30시간 00분",루프트한자,11:30,09:55,"경유 1, 15시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,338,500"
에어프랑스,10:50,18:00,"직항, 14시간 10분",KLM네덜란드항공,17:50,16:25,"경유 1, 15시간 35분",성인/모든 결제수단,"1,339,800"
스위스항공,09:55,19:25,"경유 1, 16시간 30분",루프트한자,18:00,09:55,"경유 1, 32시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,340,100"
KLM네덜란드항공,23:05,15:55,"경유 1, 23시간 50분",KLM네덜란드항공,13:25,16:25,"경유 1, 20시간 00분",성인/KB국민카드(이용실적 충족시),"1,344,300"
에티하드항공,00:55,14:20,"경유 1, 20시간 25분",에티하드항공,10:20,22:40,"경유 1, 29시간 20분",성인/KB국민카드(이용실적 충족시),"1,345,600"
KLM네덜란드항공,23:05,15:55,"경유 1, 23시간 50분",KLM네덜란드항공,14:30,16:25,"경유 1, 18시간 55분",성인/KB국민카드(이용실적 충족시),"1,345,700"
에티하드항공,18:00,07:45,"경유 1, 20시간 45분",에티하드항공,22:20,22:40,"경유 1, 17시간 20분",성인/KB국민카드(이용실적 충족시),"1,346,000"
베트남항공,17:55,06:45,"경유 1, 19시간 50분",에티하드항공,10:20,22:40,"경유 1, 29시간 20분",성인/모든 결제수단,"1,349,600"
KLM네덜란드항공,23:05,11:55,"경유 1, 19시간 50분",KLM네덜란드항공,14:30,16:25,"경유 1, 18시간 55분",성인/모든 결제수단,"1,349,700"
스위스항공,09:55,14:15,"경유 1, 35시간 20분",루프트한자,14:30,09:55,"경유 1, 36시간 25분",성인/모든 결제수단,"1,351,900"
스위스항공,09:55,22:55,"경유 1, 20시간 00분",오스트리아항공,20:15,08:50,"경유 2, 29시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,356,300"
에어프랑스,11:10,18:30,"직항, 14시간 20분",KLM네덜란드항공,14:30,16:25,"경유 1, 18시간 55분",성인/KB국민카드(이용실적 충족시),"1,358,800"
KLM네덜란드항공,23:05,11:55,"경유 1, 19시간 50분",KLM네덜란드항공,13:25,16:25,"경유 1, 20시간 00분",성인/모든 결제수단,"1,359,400"
스위스항공,09:55,19:25,"경유 1, 16시간 30분",루프트한자,14:30,09:55,"경유 1, 36시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,360,700"
스위스항공,09:55,22:55,"경유 1, 20시간 00분",루프트한자,06:45,09:55,"경유 1, 20시간 10분",성인/모든 결제수단,"1,365,000"
KLM네덜란드항공,23:05,18:10,"경유 1, 26시간 05분",KLM네덜란드항공,17:50,16:25,"경유 1, 15시간 35분",성인/모든 결제수단,"1,365,391"
LOT폴란드항공,08:15,22:45,"경유 2, 21시간 30분",LOT폴란드항공,19:45,06:20,"경유 1, 27시간 35분",성인/KB국민카드(이용실적 충족시),"1,384,100"
에티하드항공,00:55,07:45,"경유 1, 37시간 50분",에티하드항공,22:20,22:40,"경유 1, 17시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,385,100"
에미레이트항공,23:05,13:30,"경유 1, 21시간 25분",에미레이트항공,15:35,17:00,"경유 1, 18시간 25분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,390,200"
KLM네덜란드항공,23:05,18:10,"경유 1, 26시간 05분",KLM네덜란드항공,11:45,16:25,"경유 1, 21시간 40분",성인/모든 결제수단,"1,392,203"
에어프랑스,10:50,18:00,"직항, 14시간 10분",KLM네덜란드항공,11:45,16:25,"경유 1, 21시간 40분",성인/모든 결제수단,"1,393,472"
에어프랑스,10:50,18:00,"직항, 14시간 10분",KLM네덜란드항공,10:15,16:25,"경유 1, 23시간 10분",성인/NH채움카드,"1,393,700"
LOT폴란드항공,11:20,22:45,"경유 1, 18시간 25분",LOT폴란드항공,19:45,06:20,"경유 1, 27시간 35분",성인/KB국민카드(이용실적 충족시),"1,394,000"
캐세이퍼시픽항공,20:15,07:35,"경유 1, 18시간 20분",캐세이퍼시픽항공,12:05,19:15,"경유 1, 24시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,402,300"
에티하드항공,18:00,14:20,"경유 1, 27시간 20분",에티하드항공,10:20,22:40,"경유 1, 29시간 20분",성인/롯데 Trip to 로카 카드,"1,403,500"
에티하드항공,18:00,07:45,"경유 1, 20시간 45분",에티하드항공,22:20,11:40,"경유 1, 30시간 20분",성인/롯데 Trip to 로카 카드,"1,403,900"
KLM네덜란드항공,23:05,11:55,"경유 1, 19시간 50분",KLM네덜란드항공,17:50,16:25,"경유 1, 15시간 35분",성인/모든 결제수단,"1,404,200"
에어프랑스,10:50,18:00,"직항, 14시간 10분",에어프랑스,13:25,08:40,"직항, 12시간 15분",성인/모든 결제수단,"1,405,700"
베트남항공,17:55,06:45,"경유 1, 19시간 50분",LOT폴란드항공,19:45,06:20,"경유 1, 27시간 35분",성인/모든 결제수단,"1,406,100"
에티하드항공,18:00,07:45,"경유 1, 20시간 45분",에티하드항공,06:10,22:40,"경유 2, 33시간 30분",성인/KB국민카드(이용실적 충족시),"1,407,300"
KLM네덜란드항공,23:05,21:50,"경유 1, 29시간 45분",KLM네덜란드항공,14:30,16:25,"경유 1, 18시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,410,700"
KLM네덜란드항공,23:05,21:50,"경유 1, 29시간 45분",KLM네덜란드항공,10:15,16:25,"경유 1, 23시간 10분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,412,200"
스위스항공,09:55,19:25,"경유 1, 16시간 30분",오스트리아항공,20:15,08:50,"경유 2, 29시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,412,600"
루프트한자,12:25,21:25,"경유 1, 16시간 00분",루프트한자,11:30,09:55,"경유 1, 15시간 25분",성인/모든 결제수단,"1,415,000"
