out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
에어프랑스,07:35,09:00,"직항, 01시간 25분",에어프랑스,17:45,19:15,"직항, 01시간 30분",성인/모든 결제수단,"308,458"
에어프랑스,09:35,11:00,"직항, 01시간 25분",에어프랑스,17:45,19:15,"직항, 01시간 30분",성인/모든 결제수단,"308,458"
에어프랑스,07:35,09:00,"직항, 01시간 25분",에어프랑스,18:15,19:45,"직항, 01시간 30분",성인/모든 결제수단,"315,709"
에어프랑스,09:35,11:00,"직항, 01시간 25분",에어프랑스,19:15,20:45,"직항, 01시간 30분",성인/모든 결제수단,"315,709"
에어프랑스,08:05,09:30,"직항, 01시간 25분",에어프랑스,17:45,19:15,"직항, 01시간 30분",성인/모든 결제수단,"327,312"
에어프랑스,08:05,09:30,"직항, 01시간 25분",에어프랑스,18:15,19:45,"직항, 01시간 30분",성인/모든 결제수단,"334,563"
에어프랑스,08:05,09:30,"직항, 01시간 25분",에어프랑스,19:15,20:45,"직항, 01시간 30분",성인/모든 결제수단,"334,563"
에어프랑스,08:35,10:00,"직항, 01시간 25분",에어프랑스,17:45,19:15,"직항, 01시간 30분",성인/모든 결제수단,"336,013"
에어프랑스,14:35,16:00,"직항, 01시간 25분",에어프랑스,17:45,19:15,"직항, 01시간 30분",성인/모든 결제수단,"336,013"
에어프랑스,07:00,08:30,"직항, 01시간 30분",에어프랑스,11:15,12:50,"직항, 01시간 35분",성인/모든 결제수단,"337,638"
오스트리아항공,15:55,20:45,"경유 1, 04시간 50분",스위스항공,19:10,22:55,"경유 1, 03시간 45분",성인/모든 결제수단,"339,413"
이지제트,12:25,13:55,"직항, 01시간 30분",이지제트,19:30,21:00,"직항, 01시간 30분",성인/모든 결제수단,"340,927"
이지제트,12:40,14:15,"직항, 01시간 35분",이지제트,21:45,23:25,"직항, 01시간 40분",성인/모든 결제수단,"342,642"
에어프랑스,08:35,10:00,"직항, 01시간 25분",에어프랑스,18:15,19:45,"직항, 01시간 30분",성인/모든 결제수단,"343,265"
에어프랑스,14:35,16:00,"직항, 01시간 25분",에어프랑스,19:15,20:45,"직항, 01시간 30분",성인/모든 결제수단,"343,265"
이지제트,12:40,14:15,"직항, 01시간 35분",이지제트,15:15,16:55,"직항, 01시간 40분",성인/모든 결제수단,"345,084"
오스트리아항공,15:55,20:45,"경유 1, 04시간 50분",루프트한자,13:30,19:45,"경유 1, 06시간 15분",성인/모든 결제수단,"345,767"
에어프랑스,07:35,09:00,"직항, 01시간 25분",에어프랑스,12:45,14:15,"직항, 01시간 30분",성인/모든 결제수단,"347,616"
에어프랑스,09:35,11:00,"직항, 01시간 25분",에어프랑스,12:45,14:15,"직항, 01시간 30분",성인/모든 결제수단,"347,616"
오스트리아항공,15:55,20:45,"경유 1, 04시간 50분",오스트리아항공,09:45,15:05,"경유 1, 05시간 20분",성인/모든 결제수단,"347,802"
에어프랑스,07:35,09:00,"직항, 01시간 25분",에어프랑스,14:45,16:15,"직항, 01시간 30분",성인/모든 결제수단,"349,066"
에어프랑스,09:35,11:00,"직항, 01시간 25분",에어프랑스,14:45,16:15,"직항, 01시간 30분",성인/모든 결제수단,"349,066"
에어프랑스,07:35,09:00,"직항, 01시간 25분",에어프랑스,16:45,18:15,"직항, 01시간 30분",성인/모든 결제수단,"350,516"
에어프랑스,09:35,11:00,"직항, 01시간 25분",에어프랑스,16:45,18:15,"직항, 01시간 30분",성인/모든 결제수단,"350,516"
이지제트,12:25,13:55,"직항, 01시간 30분",이지제트,21:00,22:30,"직항, 01시간 30분",성인/모든 결제수단,"350,931"
에어프랑스,07:35,09:00,"직항, 01시간 25분",에어프랑스,20:45,22:15,"직항, 01시간 30분",성인/모든 결제수단,"351,966"
에어프랑스,09:35,11:00,"직항, 01시간 25분",에어프랑스,20:45,22:15,"직항, 01시간 30분",성인/모든 결제수단,"351,966"
에어프랑스,07:00,08:30,"직항, 01시간 30분",에어프랑스,12:30,14:05,"직항, 01시간 35분",성인/모든 결제수단,"352,140"
