out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
이지제트,20:00,22:20,"직항, 01시간 20분",에어유로파,06:30,06:50,"직항, 01시간 20분",성인/모든 결제수단,"80,997"
에어유로파,07:40,09:55,"직항, 01시간 15분",에어유로파,06:30,06:50,"직항, 01시간 20분",성인/모든 결제수단,"86,725"
부엘링항공,22:05,13:00,"경유 1, 13시간 55분",에어유로파,06:30,06:50,"직항, 01시간 20분",성인/모든 결제수단,"87,268"
TAP포르투갈,07:10,09:30,"직항, 01시간 20분",에어유로파,06:30,06:50,"직항, 01시간 20분",성인/모든 결제수단,"88,258"
TAP포르투갈,21:00,23:20,"직항, 01시간 20분",에어유로파,06:30,06:50,"직항, 01시간 20분",성인/모든 결제수단,"88,258"
이지제트,20:00,22:20,"직항, 01시간 20분",에어유로파,10:25,10:45,"직항, 01시간 20분",성인/모든 결제수단,"94,053"
이지제트,20:00,22:20,"직항, 01시간 20분",에어유로파,14:55,15:15,"직항, 01시간 20분",성인/모든 결제수단,"94,053"
TAP포르투갈,07:10,09:30,"직항, 01시간 20분",이지제트,10:20,10:45,"직항, 01시간 25분",성인/모든 결제수단,"96,218"
TAP포르투갈,21:00,23:20,"직항, 01시간 20분",이지제트,10:20,10:45,"직항, 01시간 25분",성인/모든 결제수단,"96,218"
이지제트,20:00,22:20,"직항, 01시간 20분",이지제트,10:20,10:45,"직항, 01시간 25분",성인/모든 결제수단,"96,599"
이지제트,20:00,22:20,"직항, 01시간 20분",이베리아항공,15:40,16:05,"직항, 01시간 25분",성인/모든 결제수단,"97,212"
이지제트,20:00,22:20,"직항, 01시간 20분",이베리아항공,11:25,11:50,"직항, 01시간 25분",성인/모든 결제수단,"97,212"
TAP포르투갈,11:45,14:05,"직항, 01시간 20분",에어유로파,06:30,06:50,"직항, 01시간 20분",성인/모든 결제수단,"97,281"
에어유로파,07:40,09:55,"직항, 01시간 15분",에어유로파,18:55,19:15,"직항, 01시간 20분",성인/모든 결제수단,"97,778"
에어유로파,20:05,22:20,"직항, 01시간 15분",에어유로파,06:30,06:50,"직항, 01시간 20분",성인/모든 결제수단,"97,778"
에어유로파,07:40,09:55,"직항, 01시간 15분",이베리아항공,15:40,16:05,"직항, 01시간 25분",성인/모든 결제수단,"98,782"
에어유로파,07:40,09:55,"직항, 01시간 15분",이베리아항공,11:25,11:50,"직항, 01시간 25분",성인/모든 결제수단,"98,782"
에어유로파,07:40,09:55,"직항, 01시간 15분",이지제트,10:20,10:45,"직항, 01시간 25분",성인/모든 결제수단,"99,706"
TAP포르투갈,07:10,09:30,"직항, 01시간 20분",에어유로파,10:25,10:45,"직항, 01시간 20분",성인/모든 결제수단,"100,661"
TAP포르투갈,21:00,23:20,"직항, 01시간 20분",에어유로파,14:55,15:15,"직항, 01시간 20분",성인/모든 결제수단,"100,661"
