out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
에티하드항공,21:50,22:40,"경유 1, 17시간 50분",에티하드항공,18:00,07:15,"경유 1, 20시간 15분",성인/KB국민카드(이용실적 충족시),"1,060,800"
중국국제항공,14:15,12:55,"경유 1, 15시간 40분",중국남방항공,16:45,06:10,"경유 1, 20시간 25분",성인/모든 결제수단,"1,095,476"
에티하드항공,21:50,22:40,"경유 1, 17시간 50분",에티하드항공,00:55,07:15,"경유 1, 37시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,101,100"
"루프트한자, 사우디아항공",18:00,14:40,"경유 2, 37시간 40분",중국남방항공,16:45,06:10,"경유 1, 20시간 25분",성인/모든 결제수단,"1,125,905"
중국국제항공,13:55,11:35,"경유 1, 14시간 40분",중국국제항공,14:55,06:20,"경유 1, 22시간 25분",성인/모든 결제수단,"1,144,400"
중국국제항공,14:15,12:55,"경유 1, 15시간 40분",중국국제항공,13:05,06:50,"경유 1, 24시간 45분",성인/모든 결제수단,"1,148,800"
"루프트한자, 사우디아항공",21:30,14:40,"경유 2, 34시간 10분",중국남방항공,16:45,06:10,"경유 1, 20시간 25분",성인/모든 결제수단,"1,154,130"
에어프랑스,19:55,08:40,"경유 1, 29시간 45분",에어프랑스,10:50,22:05,"경유 1, 18시간 15분",성인/KB국민카드(이용실적 충족시),"1,160,700"
에어프랑스,19:55,08:40,"경유 1, 29시간 45분",에어프랑스,10:50,09:00,"경유 1, 29시간 10분",성인/KB국민카드(이용실적 충족시),"1,162,400"
LOT폴란드항공,07:20,06:20,"경유 1, 16시간 00분",LOT폴란드항공,11:20,22:40,"경유 1, 18시간 20분",성인/KB국민카드(이용실적 충족시),"1,166,300"
"LOT폴란드항공, 루프트한자",07:20,06:20,"경유 1, 16시간 00분","LOT폴란드항공, 루프트한자",08:15,20:35,"경유 1, 19시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,181,800"
KLM네덜란드항공,19:20,08:40,"경유 2, 30시간 20분",에어프랑스,10:50,22:05,"경유 1, 18시간 15분",성인/KB국민카드(이용실적 충족시),"1,185,200"
KLM네덜란드항공,19:20,08:40,"경유 2, 30시간 20분",에어프랑스,10:50,09:00,"경유 1, 29시간 10분",성인/KB국민카드(이용실적 충족시),"1,186,900"
에어프랑스,19:55,08:40,"경유 1, 29시간 45분",KLM네덜란드항공,10:50,13:35,"경유 2, 33시간 45분",성인/KB국민카드(이용실적 충족시),"1,194,500"
